side,index,x_center,nominal_wl_nm,slope_v_per_level,intercept_v,mean_L0.000,mean_L0.250,mean_L0.500,mean_L0.750,mean_L1.000
x,0,1085,778.05833,1.057008e-04,-4.302234e-03,-4.238225e-03,-4.357684e-03,-4.234234e-03,-4.263665e-03,-4.153108e-03
x,1,1065,778.17139,-1.960378e-04,-4.401144e-03,-4.214942e-03,-4.249803e-03,-5.081864e-03,-4.728632e-03,-4.220574e-03
x,2,1045,778.28445,-3.859808e-04,-4.124533e-03,-4.180666e-03,-4.285200e-03,-4.233299e-03,-4.165417e-03,-4.723033e-03
x,3,1025,778.39751,-6.592816e-05,-4.257010e-03,-4.262538e-03,-4.243455e-03,-4.281384e-03,-4.391633e-03,-4.270859e-03
x,4,1005,778.51057,8.340703e-05,-4.920346e-03,-4.419303e-03,-4.270408e-03,-6.775772e-03,-4.954964e-03,-3.972767e-03
x,5,985,778.62363,8.889789e-05,-4.192661e-03,-4.165385e-03,-4.195759e-03,-4.159876e-03,-4.135797e-03,-4.084244e-03
x,6,965,778.73669,-2.518383e-04,-4.088051e-03,-4.183379e-03,-4.109618e-03,-4.190204e-03,-4.067328e-03,-4.519322e-03
x,7,945,778.84975,2.013732e-04,-4.153797e-03,-4.054869e-03,-4.214659e-03,-4.082266e-03,-4.006552e-03,-3.907206e-03
x,8,925,778.96281,3.362604e-04,-4.278137e-03,-4.202710e-03,-4.313422e-03,-4.122940e-03,-3.943731e-03,-3.967230e-03
x,9,905,779.07587,3.935869e-05,-4.088022e-03,-4.022550e-03,-4.097145e-03,-4.158976e-03,-4.082231e-03,-3.980809e-03
x,10,885,779.18893,-4.276097e-05,-4.088872e-03,-4.076542e-03,-4.131812e-03,-4.098421e-03,-4.097173e-03,-4.147313e-03
x,11,865,779.30199,3.846639e-04,-4.354641e-03,-4.283217e-03,-4.306206e-03,-4.203240e-03,-4.126788e-03,-3.892096e-03
x,12,845,779.41505,3.603027e-04,-4.273330e-03,-4.210810e-03,-4.192213e-03,-4.169973e-03,-4.072719e-03,-3.820179e-03
x,13,825,779.52812,1.423766e-02,-7.819330e-03,-4.256730e-03,-4.218618e-03,-4.134603e-03,-4.647170e-03,1.375462e-02
x,14,805,779.64118,-7.561849e-03,1.679181e-03,5.785140e-03,-4.311816e-03,-4.138930e-03,-4.040066e-03,-3.803046e-03
x,15,785,779.75424,1.173847e-04,-4.136630e-03,-4.150027e-03,-4.119871e-03,-4.054516e-03,-4.004087e-03,-4.061188e-03
x,16,765,779.86730,3.410232e-04,-4.564584e-03,-4.457406e-03,-4.417761e-03,-4.587958e-03,-4.534456e-03,-3.972780e-03
x,17,745,779.98036,-1.910374e-04,-4.480477e-03,-4.610507e-03,-4.498307e-03,-4.461681e-03,-4.422054e-03,-4.887430e-03
x,18,725,780.09342,5.816527e-04,-4.634014e-03,-4.544251e-03,-4.507037e-03,-4.395313e-03,-4.397267e-03,-3.872070e-03
w,0,1105,777.94527,-2.841167e-05,-4.502446e-03,-4.368155e-03,-4.680128e-03,-4.534933e-03,-4.512621e-03,-4.487423e-03
w,1,1125,777.83221,-1.674857e-05,-4.450207e-03,-4.430592e-03,-4.499390e-03,-4.402168e-03,-4.519065e-03,-4.441690e-03
w,2,1145,777.71914,1.104795e-03,-5.945034e-03,-4.286148e-03,-7.543120e-03,-6.217400e-03,-4.479598e-03,-4.436915e-03
w,3,1165,777.60608,1.072830e-04,-4.488590e-03,-4.449292e-03,-4.486976e-03,-4.439719e-03,-4.480159e-03,-4.318597e-03
w,4,1185,777.49302,4.265793e-05,-4.455941e-03,-4.533470e-03,-4.435815e-03,-4.332267e-03,-4.346913e-03,-4.524599e-03
w,5,1205,777.37996,5.139256e-05,-4.365648e-03,-4.430325e-03,-4.282610e-03,-4.299434e-03,-4.359999e-03,-4.327390e-03
w,6,1225,777.26690,-9.673453e-05,-4.280227e-03,-4.319309e-03,-4.306745e-03,-4.225372e-03,-4.395891e-03,-4.395654e-03
w,7,1245,777.15384,-3.016258e-05,-4.353397e-03,-4.331245e-03,-4.369912e-03,-4.420674e-03,-4.333317e-03,-4.387246e-03
w,8,1265,777.04078,-8.566853e-05,-4.385056e-03,-4.411651e-03,-4.379709e-03,-4.409348e-03,-4.460301e-03,-4.478441e-03
w,9,1285,776.92772,1.379265e-05,-4.401895e-03,-4.360964e-03,-4.445033e-03,-4.389023e-03,-4.427468e-03,-4.352506e-03
w,10,1305,776.81466,-7.936905e-05,-4.369492e-03,-4.418260e-03,-4.365320e-03,-4.368540e-03,-4.387266e-03,-4.506498e-03
w,11,1325,776.70160,-1.041926e-05,-4.414858e-03,-4.336835e-03,-4.459535e-03,-4.515815e-03,-4.417057e-03,-4.371098e-03
w,12,1345,776.58854,-5.026129e-05,-3.605882e-03,-4.454981e-03,-6.814051e-03,3.896416e-03,-5.715226e-03,-5.067220e-03
w,13,1365,776.47548,-5.368570e-05,-4.741013e-03,-4.858639e-03,-4.543065e-03,-4.832851e-03,-4.814893e-03,-4.789831e-03
w,14,1385,776.36242,1.541051e-03,-5.633776e-03,-6.296507e-03,-4.700495e-03,-4.385617e-03,-4.426387e-03,-4.507248e-03
w,15,1405,776.24936,-9.595324e-04,-4.402238e-03,-4.493898e-03,-4.470693e-03,-4.886985e-03,-5.259567e-03,-5.298876e-03
w,16,1425,776.13630,-5.867667e-04,-4.823980e-03,-4.637133e-03,-4.472020e-03,-5.956568e-03,-5.828989e-03,-4.692107e-03
w,17,1445,776.02323,-5.393905e-04,-4.695846e-03,-4.739123e-03,-4.706807e-03,-5.119353e-03,-4.991320e-03,-5.271104e-03
w,18,1465,775.91017,-1.834546e-04,-4.853674e-03,-4.929902e-03,-4.917313e-03,-4.715243e-03,-5.093349e-03,-5.071202e-03
