trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v,voltage_sem_v,sem_ratio
0,3,1,36.87,36.87,0.1,0.1,1,1,0.000667835952,0.00383222141,0.000771185618,7.03992932e-05,0.0183704
0,3,1,53.13,53.13,0.2,0.2,1,1,0.000667835952,0.00363220765,0.0010868574,9.92160525e-05,0.0273156
0,3,1,78.46,78.46,0.4,0.4,1,1,0.000667835952,0.0046289001,0.00187477861,0.000171143089,0.0369727
0,3,1,90,90,0.5,0.5,1,1,0.000667835952,0.00518991333,0.00199450422,0.000182072492,0.035082
0,3,1,101.5,101.5,0.6,0.6,1,1,0.000667835952,0.00647523572,0.00215614554,0.000196828258,0.0303971
0,3,1,113.6,113.6,0.7,0.7,1,1,0.000667835952,0.00829097789,0.00155480769,0.000141933874,0.0171191
0,3,1,126.9,126.9,0.8,0.8,1,1,0.000667835952,0.0105442703,0.00123815038,0.000113027148,0.0107193
0,3,1,143.1,143.1,0.9,0.9,1,1,0.000667835952,0.0133575326,0.00147448647,0.000134601584,0.0100768
0,3,1,180,180,1,1,1,1,0.000667835952,0.0167974255,0.0014153539,0.000129203543,0.00769187
0,5,1,36.87,36.87,0.1,0.1,1,1,0.000606844929,0.00392039553,0.000894395781,8.16467907e-05,0.0208262
0,5,1,53.13,53.13,0.2,0.2,1,1,0.000606844929,0.00340304414,0.000691131475,6.30913832e-05,0.0185397
0,5,1,66.42,66.42,0.3,0.3,1,1,0.000606844929,0.00313838524,0.00103332694,9.43294122e-05,0.0300567
0,5,1,78.46,78.46,0.4,0.4,1,1,0.000606844929,0.00321819394,0.00110315548,0.000100703857,0.031292
0,5,1,90,90,0.5,0.5,1,1,0.000606844929,0.00356868124,0.000639864394,5.84113603e-05,0.0163678
0,5,1,101.5,101.5,0.6,0.6,1,1,0.000606844929,0.00459074343,0.00077559861,7.08021423e-05,0.0154228
0,5,1,113.6,113.6,0.7,0.7,1,1,0.000606844929,0.00572146472,0.00124803411,0.000113929406,0.0199126
0,5,1,126.9,126.9,0.8,0.8,1,1,0.000606844929,0.00747467988,0.000898051505,8.19805112e-05,0.0109678
0,5,1,143.1,143.1,0.9,0.9,1,1,0.000606844929,0.00984235992,0.00106948507,9.76301833e-05,0.00991939
0,5,1,180,180,1,1,1,1,0.000606844929,0.0147282342,0.00140264845,0.0001280437,0.00869376
