t_h,a,beta,beta_err,delta_pm,delta_err_pm,resid_tilt,resid_shift,resid_combined,temp_C,pd_mV
0.0000,1.000000,0.000000,0.000000,0.000,0.000,0.000000,0.000000,0.000000,28.8968,11.650328
0.2500,1.019212,-0.000691,0.004122,2.786,13.930,0.037629,0.037647,0.037605,28.9678,11.607021
0.5000,1.007734,-0.006130,0.005437,1.518,18.370,0.043806,0.044441,0.043799,29.0369,11.606375
0.7500,1.008308,0.002177,0.003862,-4.846,12.978,0.040038,0.040188,0.039968,29.0286,11.628375
1.0000,1.020662,-0.007306,0.004019,-2.088,13.543,0.040926,0.041611,0.040913,28.9916,11.616403
1.2500,0.998510,-0.000419,0.003279,-3.096,11.034,0.036405,0.036379,0.036374,28.9746,11.643340
1.5000,1.018419,0.000026,0.004988,-7.889,16.554,0.040570,0.040485,0.040386,28.9351,11.634326
1.7500,1.008243,-0.004386,0.003599,6.160,12.043,0.033473,0.034102,0.033337,28.9019,11.648359
2.0000,1.013709,0.003243,0.003883,1.640,13.089,0.045258,0.045358,0.045251,28.8618,11.661649
2.2500,1.032488,0.004643,0.003946,-1.206,13.315,0.038685,0.039101,0.038680,28.8193,11.667139
2.5000,1.013128,-0.001494,0.003986,5.185,13.434,0.046095,0.046161,0.046026,28.7854,11.651030
2.7500,1.027527,0.008443,0.004672,-0.512,15.774,0.042294,0.043414,0.042293,28.7705,11.686094
3.0000,1.005498,0.007304,0.003464,0.497,11.706,0.038114,0.038974,0.038113,28.7388,11.687903
3.2500,1.025089,0.009487,0.004218,-5.232,14.269,0.038888,0.040818,0.038804,28.7000,11.678558
3.5000,1.016864,0.011932,0.004637,-1.120,15.639,0.037470,0.039995,0.037466,28.6798,11.686495
3.7500,1.031365,0.007656,0.005258,-9.640,17.440,0.048450,0.049724,0.048220,28.6440,11.672721
4.0000,1.025050,0.010726,0.003635,0.890,12.284,0.039346,0.041106,0.039344,28.5953,11.672044
4.2500,1.028695,0.009159,0.003025,1.307,10.226,0.037241,0.038548,0.037235,28.5945,11.683185
4.5000,1.032316,0.017029,0.004781,0.089,16.147,0.049565,0.053217,0.049565,28.5763,11.714580
4.7500,1.029767,0.011190,0.005152,-7.643,17.192,0.043204,0.045734,0.043042,28.5359,11.704858
5.0000,1.033557,0.020481,0.005237,-2.160,17.747,0.044156,0.050296,0.044143,28.5333,11.704068
5.2500,1.031813,0.017443,0.004941,-3.790,16.624,0.039241,0.044572,0.039197,28.5400,11.697754
5.5000,1.037834,0.023290,0.005599,-2.826,19.032,0.041249,0.049580,0.041226,28.5516,11.711899
5.7500,1.031337,0.029132,0.006737,-7.873,22.316,0.049657,0.061205,0.049508,28.5004,11.704819
6.0000,1.040011,0.021513,0.005967,-17.251,18.728,0.048101,0.056395,0.047355,28.4699,11.709130
6.2500,1.029251,0.031040,0.008449,-3.008,28.712,0.054410,0.065468,0.054390,28.4242,11.719843
6.5000,1.044377,0.029927,0.006763,-5.011,22.781,0.046791,0.058913,0.046727,28.3832,11.740938
6.7500,1.046011,0.030106,0.004523,3.028,15.202,0.037481,0.050073,0.037451,28.3705,11.736686
7.0000,1.036693,0.033741,0.005281,-4.816,17.830,0.041684,0.057832,0.041617,28.3301,11.722723
7.2500,1.040757,0.029720,0.005749,-6.056,19.435,0.042702,0.055781,0.042599,28.3396,11.735129
7.5000,1.050794,0.033039,0.005216,0.552,17.607,0.040780,0.055370,0.040779,28.2790,11.735687
7.7500,1.031010,0.038678,0.006690,-2.859,22.620,0.048398,0.066132,0.048378,28.2656,11.746692
8.0000,1.050683,0.044410,0.007057,-8.785,23.562,0.050209,0.073405,0.050024,28.2443,11.749066
8.2500,1.033124,0.035342,0.010457,-1.513,35.377,0.064710,0.076501,0.064706,28.2383,11.749463
8.5000,1.040768,0.036584,0.005747,3.327,19.335,0.041886,0.058250,0.041855,28.2656,11.764273
8.7500,1.033537,0.038923,0.004855,-3.579,16.442,0.039142,0.060088,0.039103,28.1892,11.749592
9.0000,1.031974,0.043693,0.006740,-1.673,22.794,0.047738,0.069404,0.047731,28.2371,11.774145
9.2500,1.033942,0.047778,0.004011,-2.813,13.550,0.035830,0.066000,0.035804,28.2626,11.787372
9.5000,1.021355,0.044858,0.004574,-4.575,15.402,0.035560,0.063569,0.035489,28.2893,11.794973
9.7500,1.020418,0.043577,0.005371,-4.629,17.990,0.037442,0.063470,0.037373,28.3293,11.817362
10.0000,1.020305,0.047203,0.004288,-2.100,14.501,0.042824,0.069333,0.042812,28.3335,11.827926
10.2500,1.006906,0.047699,0.005971,0.258,20.160,0.042891,0.069170,0.042891,28.3485,11.843534
10.5000,1.006774,0.052313,0.004372,-3.504,14.735,0.035751,0.070561,0.035710,28.3979,11.846765
10.7500,0.992373,0.056592,0.003449,-4.519,11.632,0.034505,0.074525,0.034435,28.4339,11.867416
11.0000,0.988689,0.057648,0.005393,-6.372,18.115,0.043981,0.080883,0.043870,28.4703,11.881887
11.2500,0.979276,0.055100,0.006457,-3.750,21.808,0.044138,0.077821,0.044099,28.4819,11.890315
11.5000,0.973923,0.054863,0.003618,2.035,12.197,0.031948,0.069564,0.031932,28.5732,11.916809
