# step-7 v2 measurement, x/w replaced by delivered
# source: calib_step7_meas_0904_0146.csv  (0904 run, encoded with method=interp)
# delivered = sin^2(Delta(L)/2) from the fitted transfer model in calib_step3b_0903_1517.json
# *_cmd columns are the values the run asked for; level_* is the grayscale it actually wrote
trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v,std_ratio,x_t_cmd,w_t_cmd,x_r_cmd,w_r_cmd,level_x_t,level_w_t,level_x_r,level_w_r
0,2,2,36.6733,38.026,0.0989728589,0.106134583,0.902928084,0.912271073,-6.71197883e-05,0.0247239617,0.00144259136,0.0583479,0.1,0.1,0.9,0.9,482,485,760,764
0,2,2,53.2267,53.0552,0.200674745,0.199477123,0.902928084,0.912271073,-6.71197883e-05,0.0252347775,0.00135893449,0.0538517,0.188889,0.188889,0.9,0.9,525,524,760,764
0,2,2,64.3906,63.0746,0.28388332,0.273584889,0.902928084,0.912271073,-6.71197883e-05,0.0251445194,0.00144273152,0.0573776,0.277778,0.277778,0.9,0.9,554,550,760,764
0,2,2,72.4748,76.9476,0.349437771,0.387079185,0.902928084,0.912271073,-6.71197883e-05,0.0250349261,0.00135418384,0.0540918,0.366667,0.366667,0.9,0.9,575,586,760,764
0,2,2,84.4087,85.811,0.451284137,0.463476262,0.902928084,0.912271073,-6.71197883e-05,0.0251015044,0.00143018479,0.0569761,0.455556,0.455556,0.9,0.9,606,609,760,764
0,2,2,94.8027,96.6011,0.541862461,0.5574781,0.902928084,0.912271073,-6.71197883e-05,0.0249676726,0.00142869675,0.0572219,0.544444,0.544444,0.9,0.9,633,637,760,764
0,2,2,107.891,107.777,0.653607327,0.652653235,0.902928084,0.912271073,-6.71197883e-05,0.0249385047,0.00146921967,0.0589137,0.633333,0.633333,0.9,0.9,667,666,760,764
0,2,2,114.821,115.484,0.70989071,0.71512831,0.902928084,0.912271073,-6.71197883e-05,0.0245130705,0.00127648702,0.0520737,0.722222,0.722222,0.9,0.9,685,686,760,764
0,2,2,130.604,128.586,0.825415438,0.811845414,0.902928084,0.912271073,-6.71197883e-05,0.0250325105,0.00144632716,0.057778,0.811111,0.811111,0.9,0.9,726,720,760,764
0,2,2,143.693,145.542,0.902928084,0.912271073,0.902928084,0.912271073,-6.71197883e-05,0.0249543949,0.0013803698,0.0553157,0.9,0.9,0.9,0.9,760,764,760,764
0,4,2,38.454,38.2975,0.108446318,0.107598329,0.902928084,0.912271073,-8.96067239e-05,0.0195716932,0.00120146783,0.061388,0.1,0.1,0.9,0.9,486,486,760,764
0,4,2,53.2215,52.9296,0.200638533,0.198602134,0.902928084,0.912271073,-8.96067239e-05,0.0150192615,0.00112921338,0.0751843,0.188889,0.188889,0.9,0.9,524,527,760,764
0,4,2,64.4914,63.2791,0.284676954,0.27517793,0.902928084,0.912271073,-8.96067239e-05,0.0122576697,0.000995941748,0.0812505,0.277778,0.277778,0.9,0.9,553,556,760,764
0,4,2,73.8183,75.4131,0.360657477,0.374075819,0.902928084,0.912271073,-8.96067239e-05,0.0107732923,0.000904053867,0.0839162,0.366667,0.366667,0.9,0.9,577,590,760,764
0,4,2,84.3109,82.5507,0.450435157,0.435175545,0.902928084,0.912271073,-8.96067239e-05,0.0113893654,0.000892642821,0.0783751,0.455556,0.455556,0.9,0.9,604,610,760,764
0,4,2,99.0784,95.7553,0.578893116,0.55013984,0.902928084,0.912271073,-8.96067239e-05,0.0162583007,0.00112182572,0.0690002,0.544444,0.544444,0.9,0.9,642,647,760,764
0,4,2,107.628,110.744,0.65141799,0.67709867,0.902928084,0.912271073,-8.96067239e-05,0.0238984124,0.00145702186,0.0609673,0.633333,0.633333,0.9,0.9,664,689,760,764
0,4,2,118.121,119.309,0.735665291,0.744762702,0.902928084,0.912271073,-8.96067239e-05,0.0322483665,0.00161707056,0.0501443,0.722222,0.722222,0.9,0.9,691,713,760,764
0,4,2,132.111,132.157,0.835284185,0.835582815,0.902928084,0.912271073,-8.96067239e-05,0.0465836727,0.00197564643,0.0424107,0.811111,0.811111,0.9,0.9,727,749,760,764
0,4,2,140.272,138.224,0.884543223,0.872877926,0.902928084,0.912271073,-8.96067239e-05,0.0547429663,0.00214156066,0.0391203,0.9,0.9,0.9,0.9,748,766,760,764
0,5,2,37.5963,38.8013,0.103835288,0.110338222,0.902928084,0.912271073,-8.04642077e-05,0.0235968211,0.00136964647,0.0580437,0.1,0.1,0.9,0.9,482,487,760,764
0,5,2,54.5685,53.292,0.210135194,0.201131744,0.902928084,0.912271073,-8.04642077e-05,0.020525777,0.0013394192,0.0652555,0.188889,0.188889,0.9,0.9,525,526,760,764
0,5,2,64.8307,64.0672,0.287353099,0.281341618,0.902928084,0.912271073,-8.04642077e-05,0.0165889839,0.0011590196,0.0698668,0.277778,0.277778,0.9,0.9,551,555,760,764
0,5,2,73.9089,73.7277,0.361417267,0.359898486,0.902928084,0.912271073,-8.04642077e-05,0.0126985158,0.00101182834,0.0796808,0.366667,0.366667,0.9,0.9,574,581,760,764
0,5,2,87.3288,85.6175,0.476697673,0.461792773,0.902928084,0.912271073,-8.04642077e-05,0.007239563,0.000724365575,0.100057,0.455556,0.455556,0.9,0.9,608,613,760,764
0,5,2,94.8281,98.622,0.542083539,0.574957477,0.902928084,0.912271073,-8.04642077e-05,0.00353857395,0.000544135392,0.153773,0.544444,0.544444,0.9,0.9,627,648,760,764
0,5,2,105.09,104.567,0.630171336,0.625755221,0.902928084,0.912271073,-8.04642077e-05,0.0014476113,0.000348423452,0.240689,0.633333,0.633333,0.9,0.9,653,664,760,764
0,5,2,112.195,116.457,0.688880329,0.722760954,0.902928084,0.912271073,-8.04642077e-05,0.000213872204,0.000171956105,0.804013,0.722222,0.722222,0.9,0.9,671,696,760,764
0,5,2,133.509,134.663,0.844234114,0.851467952,0.902928084,0.912271073,-8.04642077e-05,0.00264497248,0.00046510245,0.175844,0.811111,0.811111,0.9,0.9,725,745,760,764
0,5,2,144.561,152.498,0.907364873,0.943496415,0.902928084,0.912271073,-8.04642077e-05,0.00873792394,0.000818547627,0.0936776,0.9,0.9,0.9,0.9,753,793,760,764
