# step-8 simple measurement, per-pair x/w replaced by delivered
# source: calib_step8_simple_0904_0150.csv  (0904 run, encoded with method=interp)
# delivered = sin^2(Delta(L)/2) from the fitted transfer model in calib_step3b_0903_1517.json
# *_cmd columns are the values the run asked for; level_* is the grayscale it actually wrote
block,pairs,v,x_2,w_2,x_4,w_4,x_5,w_5,dark_v,voltage_mean_v,voltage_std_v,std_ratio,pred_v,x_2_cmd,w_2_cmd,x_4_cmd,w_4_cmd,x_5_cmd,w_5_cmd,level_x_2,level_w_2,level_x_4,level_w_4,level_x_5,level_w_5
0,2,0.1,0.0989728589,0.106134583,0,0,0,0,-5.12851406e-05,0.000223191783,0.00014314579,0.641358,,0.1,0.1,0,0,0,0,482,485,395,395,395,395
0,2,0.28,0.28388332,0.276588356,0,0,0,0,-5.12851406e-05,0.0023487219,0.000415178016,0.176768,,0.28,0.28,0,0,0,0,554,551,395,395,395,395
0,2,0.46,0.454628665,0.466830998,0,0,0,0,-5.12851406e-05,0.00661096785,0.000614083719,0.0928886,,0.46,0.46,0,0,0,0,607,610,395,395,395,395
0,2,0.64,0.656800811,0.655852112,0,0,0,0,-5.12851406e-05,0.0135002205,0.00108504349,0.0803723,,0.64,0.64,0,0,0,0,668,667,395,395,395,395
0,2,0.82,0.830487026,0.817074437,0,0,0,0,-5.12851406e-05,0.0210732552,0.0011283686,0.0535451,,0.82,0.82,0,0,0,0,728,722,395,395,395,395
0,2,1,0.999635023,0.999509972,0,0,0,0,-5.12851406e-05,0.0309721769,0.00161895427,0.0522712,,1,1,0,0,0,0,860,860,395,395,395,395
1,4,0.1,0,0,0.108446318,0.107598329,0,0,-5.12851406e-05,0.000236160317,0.000154060977,0.652358,,0,0,0.1,0.1,0,0,395,395,486,486,395,395
1,4,0.28,0,0,0.287742631,0.277964053,0,0,-5.12851406e-05,0.00254036443,0.000486255032,0.191412,,0,0,0.28,0.28,0,0,395,395,554,557,395,395
1,4,0.46,0,0,0.453810898,0.441356585,0,0,-5.12851406e-05,0.00730617215,0.000661382336,0.0905238,,0,0,0.46,0.46,0,0,395,395,605,612,395,395
1,4,0.64,0,0,0.657868027,0.680007684,0,0,-5.12851406e-05,0.0161334573,0.00116089772,0.0719559,,0,0,0.64,0.64,0,0,395,395,666,690,395,395
1,4,0.82,0,0,0.854907655,0.842449943,0,0,-5.12851406e-05,0.0257549205,0.00129536971,0.050296,,0,0,0.82,0.82,0,0,395,395,735,752,395,395
1,4,1,0,0,0.927779372,0.997218775,0,0,-5.12851406e-05,0.0320352713,0.00164328295,0.0512961,,0,0,1,1,0,0,395,395,770,900,395,395
2,5,0.1,0,0,0,0,0.103835288,0.110338222,-5.12851406e-05,0.000325839499,0.000181391656,0.55669,,0,0,0,0,0.1,0.1,395,395,395,395,482,487
