t_h,a_decay,delta_pm,delta_err_pm,resid_shift,beta_per_nm,beta_err,resid_tilt,a_free_per_sweep,centroid_meas_nm,centroid_tilt_nm,centroid_shift_nm,temp_C,pd_mV
0.0000,1.000000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,1.000000,778.45069,778.45069,778.45069,28.8968,11.650328
0.2500,1.000790,2.333,16.704,0.043079,-0.000574,0.004972,0.043125,1.020143,778.44919,778.44916,778.45303,28.9678,11.607021
0.5000,1.001579,-15.839,17.328,0.044729,-0.006090,0.005113,0.044376,1.008878,778.43451,778.43439,778.43486,29.0369,11.606375
0.7500,1.002369,3.221,16.168,0.041770,0.002459,0.004795,0.041650,1.009183,778.45723,778.45728,778.45392,29.0286,11.628375
1.0000,1.003159,-24.518,17.480,0.045200,-0.007354,0.005231,0.045476,1.021729,778.43136,778.43101,778.42618,28.9916,11.616403
1.2500,1.003948,-1.248,14.119,0.036541,-0.000258,0.004194,0.036485,0.999290,778.45000,778.45000,778.44945,28.9746,11.643340
1.5000,1.004738,-0.417,16.934,0.043866,0.000673,0.005057,0.044029,1.019593,778.45247,778.45250,778.45028,28.9351,11.634326
1.7500,1.005527,-11.225,13.129,0.034038,-0.004601,0.003871,0.033736,1.008743,778.43842,778.43838,778.43947,28.9019,11.648359
2.0000,1.006317,12.143,17.904,0.046458,0.003492,0.005349,0.046645,1.014775,778.45996,778.46004,778.46284,28.8618,11.661649
2.2500,1.007107,9.493,18.335,0.047619,0.004661,0.005463,0.047681,1.033229,778.46286,778.46317,778.46019,28.8193,11.667139
2.5000,1.007896,-3.637,18.128,0.047123,-0.001801,0.005401,0.047175,1.014118,778.44590,778.44587,778.44706,28.7854,11.651030
2.7500,1.008686,25.255,18.393,0.047853,0.008637,0.005479,0.047894,1.028564,778.47337,778.47382,778.47595,28.7705,11.686094
3.0000,1.009476,23.385,14.918,0.038844,0.007515,0.004416,0.038632,1.006287,778.47088,778.47081,778.47408,28.7388,11.687903
3.2500,1.010265,28.156,16.492,0.042982,0.009834,0.004886,0.042775,1.026125,778.47662,778.47702,778.47885,28.7000,11.678558
