t_h,a,beta,beta_err,delta_pm,delta_err_pm,resid_tilt,resid_shift,resid_combined,temp_C,pd_mV
0.0000,1.000000,0.000000,0.000000,0.000,0.000,0.000000,0.000000,0.000000,28.8968,11.650328
0.2500,1.019422,-0.000441,0.004204,24.959,27.048,0.037551,0.037483,0.037040,28.9678,11.607021
0.5000,1.007864,-0.006110,0.005589,7.675,37.006,0.043908,0.044348,0.043867,29.0369,11.606375
0.7500,1.008357,0.002292,0.003956,-12.301,26.117,0.040094,0.040228,0.039978,29.0286,11.628375
1.0000,1.020809,-0.007295,0.004148,-8.238,27.405,0.040853,0.040999,0.040802,28.9916,11.616403
1.2500,0.998630,-0.000273,0.003359,-3.880,22.253,0.036407,0.036400,0.036394,28.9746,11.643340
1.5000,1.018759,0.000461,0.004860,-3.103,32.190,0.040363,0.040369,0.040356,28.9351,11.634326
1.7500,1.008151,-0.004611,0.003643,7.902,24.074,0.033474,0.033845,0.033417,28.9019,11.648359
2.0000,1.013721,0.003337,0.004009,14.077,26.382,0.045315,0.045183,0.045181,28.8618,11.661649
2.2500,1.032425,0.004675,0.004030,-3.251,26.673,0.038779,0.039021,0.038771,28.8193,11.667139
2.5000,1.013035,-0.001650,0.004062,7.551,26.895,0.046171,0.046227,0.046134,28.7854,11.651030
2.7500,1.027541,0.008665,0.004754,12.920,31.400,0.042330,0.042406,0.042209,28.7705,11.686094
3.0000,1.005480,0.007455,0.003522,9.165,23.263,0.038093,0.038228,0.038025,28.7388,11.687903
3.2500,1.025224,0.009889,0.004305,10.010,28.306,0.038711,0.039048,0.038632,28.7000,11.678558
3.5000,1.016776,0.012106,0.004717,5.671,31.187,0.037485,0.038385,0.037459,28.6798,11.686495
3.7500,1.031471,0.007974,0.005309,-16.446,35.041,0.048451,0.049282,0.048280,28.6440,11.672721
4.0000,1.024853,0.010733,0.003726,1.678,24.672,0.039420,0.040253,0.039418,28.5953,11.672044
4.2500,1.028590,0.009244,0.003088,7.099,20.367,0.037214,0.037623,0.037173,28.5945,11.683185
4.5000,1.032165,0.017247,0.004809,11.141,31.785,0.049567,0.050760,0.049491,28.5763,11.714580
4.7500,1.029806,0.011510,0.005209,-7.543,34.553,0.043177,0.044460,0.043136,28.5359,11.704858
5.0000,1.033498,0.020902,0.005358,22.299,35.008,0.044028,0.045239,0.043682,28.5333,11.704068
5.2500,1.031773,0.017813,0.004970,10.811,32.793,0.039140,0.040793,0.039049,28.5400,11.697754
5.5000,1.037643,0.023613,0.005766,14.438,37.787,0.041184,0.043902,0.041029,28.5516,11.711899
5.7500,1.030996,0.029402,0.006895,-14.951,45.534,0.049604,0.056150,0.049466,28.5004,11.704819
6.0000,1.040191,0.022256,0.005529,-20.380,36.161,0.047459,0.052097,0.047191,28.4699,11.709130
6.2500,1.028944,0.031401,0.008684,15.561,57.039,0.054408,0.058396,0.054272,28.4242,11.719843
6.5000,1.044084,0.030283,0.006827,3.198,45.173,0.046737,0.052237,0.046730,28.3832,11.740938
6.7500,1.045705,0.030452,0.004569,36.511,28.822,0.037390,0.039767,0.036284,28.3705,11.736686
7.0000,1.035950,0.033619,0.005409,-29.288,34.893,0.041750,0.052732,0.041117,28.3301,11.722723
7.2500,1.040354,0.029932,0.005886,-7.782,38.900,0.042748,0.049708,0.042705,28.3396,11.735129
7.5000,1.050446,0.033402,0.005219,25.626,33.573,0.040678,0.045324,0.040181,28.2790,11.735687
7.7500,1.030520,0.038991,0.006798,11.555,44.772,0.048400,0.056068,0.048315,28.2656,11.746692
8.0000,1.050367,0.045087,0.006895,10.071,45.445,0.049766,0.060000,0.049704,28.2443,11.749066
8.2500,1.033020,0.036064,0.010430,44.598,65.923,0.064405,0.066232,0.063454,28.2383,11.749463
8.5000,1.040252,0.036819,0.005800,27.305,37.431,0.041894,0.047469,0.041346,28.2656,11.764273
8.7500,1.033055,0.039252,0.004931,8.951,32.489,0.039087,0.048751,0.039024,28.1892,11.749592
9.0000,1.031365,0.043978,0.006878,14.357,45.074,0.047755,0.057265,0.047623,28.2371,11.774145
9.2500,1.033264,0.048075,0.004028,9.120,26.516,0.035778,0.050836,0.035706,28.2626,11.787372
9.5000,1.020804,0.045234,0.004610,8.272,30.415,0.035419,0.049133,0.035359,28.2893,11.794973
9.7500,1.019783,0.043815,0.005440,-2.894,35.975,0.037442,0.051524,0.037435,28.3293,11.817362
10.0000,1.019704,0.047573,0.004353,18.017,28.508,0.042753,0.054357,0.042521,28.3335,11.827926
10.2500,1.006216,0.047954,0.006056,17.598,39.544,0.042904,0.054729,0.042683,28.3485,11.843534
10.5000,1.006196,0.052826,0.004273,21.299,27.896,0.035416,0.051182,0.035022,28.3979,11.846765
10.7500,0.991523,0.056838,0.003502,-0.244,23.185,0.034496,0.056832,0.034496,28.4339,11.867416
11.0000,0.987914,0.058015,0.005437,-0.225,35.996,0.043913,0.063664,0.043913,28.4703,11.881887
11.2500,0.978559,0.055471,0.006466,9.132,42.610,0.044050,0.060858,0.043992,28.4819,11.890315
11.5000,0.973112,0.055098,0.003651,23.724,23.138,0.031919,0.049745,0.031375,28.5732,11.916809
