block,pairs,v,x_0,w_0,x_2,w_2,x_4,w_4,dark_v,voltage_mean_v,voltage_std_v,voltage_sem_v,sem_ratio,pred_v
0,0,0.1,0.1,0.1,0,0,0,0,-3.71249775e-05,0.000297830119,0.000112976698,1.03133144e-05,0.0346282,0.000284187156
0,0,0.28,0.28,0.28,0,0,0,0,-3.71249775e-05,0.00217189887,0.00026476027,2.41691954e-05,0.0111281,0.00219711052
0,0,0.46,0.46,0.46,0,0,0,0,-3.71249775e-05,0.0060807503,0.000457186557,4.17352317e-05,0.0068635,0.00591181651
0,0,0.64,0.64,0.64,0,0,0,0,-3.71249775e-05,0.0119307548,0.000603626441,5.5103303e-05,0.00461859,0.0114283051
0,0,0.82,0.82,0.82,0,0,0,0,-3.71249775e-05,0.0188581624,0.000781265143,7.13194237e-05,0.00378189,0.0187465764
0,0,1,1,1,0,0,0,0,-3.71249775e-05,0.0263024021,0.00108402041,9.89570718e-05,0.00376228,0.0278666302
1,2,0.1,0,0,0.1,0.1,0,0,-3.71249775e-05,0.000232526068,0.000108243614,9.88124485e-06,0.0424952,0.000240156054
1,2,0.28,0,0,0.28,0.28,0,0,-3.71249775e-05,0.00192164644,0.000261113996,2.38363376e-05,0.0124041,0.00188411427
1,2,0.46,0,0,0.46,0.46,0,0,-3.71249775e-05,0.00532640437,0.000419637332,3.83074721e-05,0.00719199,0.00508594331
1,2,0.64,0,0,0.64,0.64,0,0,-3.71249775e-05,0.00988410404,0.000589793817,5.38405629e-05,0.00544719,0.00984564319
1,2,0.82,0,0,0.82,0.82,0,0,-3.71249775e-05,0.0167061413,0.000844905591,7.71289752e-05,0.0046168,0.0161632139
1,2,1,0,0,1,1,0,0,-3.71249775e-05,0.0232403719,0.000985093758,8.99263454e-05,0.0038694,0.0240386555
2,4,0.1,0,0,0,0,0.1,0.1,-3.71249775e-05,0.000366936393,0.000127780536,1.16647136e-05,0.0317895,0.000408134099
2,4,0.28,0,0,0,0,0.28,0.28,-3.71249775e-05,0.00315560485,0.000371006987,3.38681493e-05,0.0107327,0.00314195999
2,4,0.46,0,0,0,0,0.46,0.46,-3.71249775e-05,0.00866107697,0.000571786118,5.21966925e-05,0.00602658,0.00844616597
2,4,0.64,0,0,0,0,0.64,0.64,-3.71249775e-05,0.0167446995,0.000903200247,8.24505249e-05,0.00492398,0.016320752
2,4,0.82,0,0,0,0,0.82,0.82,-3.71249775e-05,0.0278339145,0.0010085764,9.20700079e-05,0.00330784,0.0267657182
2,4,1,0,0,0,0,1,1,-3.71249775e-05,0.0394604188,0.00151371289,0.000138182449,0.0035018,0.0397810645
3,0+2,0.1,0.1,0.1,0.1,0.1,0,0,-3.71249775e-05,0.000730877265,0.000167457457,1.52867044e-05,0.0209156,0.000768971241
3,0+2,0.28,0.28,0.28,0.28,0.28,0,0,-3.71249775e-05,0.00558484865,0.000408212259,3.72645104e-05,0.00667243,0.00599910855
3,0+2,0.46,0.46,0.46,0.46,0.46,0,0,-3.71249775e-05,0.0156073179,0.000794940277,7.25677869e-05,0.0046496,0.016174089
3,0+2,0.64,0.64,0.64,0.64,0.64,0,0,-3.71249775e-05,0.0292183088,0.00111608432,0.000101884093,0.00348699,0.0312939125
3,0+2,0.82,0.82,0.82,0.82,0.82,0,0,-3.71249775e-05,0.0482002197,0.0014698139,0.000134175038,0.0027837,0.0513585791
3,0+2,1,1,1,1,1,0,0,-3.71249775e-05,0.0648357485,0.00150431829,0.000137324844,0.00211804,0.0763680888
4,0+4,0.1,0.1,0.1,0,0,0.1,0.1,-3.71249775e-05,0.00020321927,0.000109662923,1.00108095e-05,0.0492611,0.000211870956
4,0+4,0.28,0.28,0.28,0,0,0.28,0.28,-3.71249775e-05,0.00193194398,0.000265354853,2.42234732e-05,0.0125384,0.00157234017
4,0+4,0.46,0.46,0.46,0,0,0.46,0.46,-3.71249775e-05,0.00524279007,0.000464214804,4.23768199e-05,0.00808288,0.00419165417
4,0+4,0.64,0.64,0.64,0,0,0.64,0.64,-3.71249775e-05,0.0108309336,0.000743076542,6.78332974e-05,0.00626292,0.00806981294
4,0+4,0.82,0.82,0.82,0,0,0.82,0.82,-3.71249775e-05,0.0165294292,0.0008763482,7.99992796e-05,0.00483981,0.0132068165
4,0+4,1,1,1,0,0,1,1,-3.71249775e-05,0.0167920447,0.00107186451,9.78473948e-05,0.00582701,0.0196026648
5,2+4,0.1,0,0,0.1,0.1,0.1,0.1,-3.71249775e-05,1.70533043e-05,6.47641167e-05,5.91212794e-06,0.346685,6.23182001e-05
5,2+4,0.28,0,0,0.28,0.28,0.28,0.28,-3.71249775e-05,0.000471301657,0.000141651014,1.29309093e-05,0.0274366,0.000432054151
5,2+4,0.46,0,0,0.46,0.46,0.46,0.46,-3.71249775e-05,0.00127317957,0.000208175313,1.90037191e-05,0.0149262,0.00113294278
5,2+4,0.64,0,0,0.64,0.64,0.64,0.64,-3.71249775e-05,0.00234923878,0.000293683613,2.68095233e-05,0.011412,0.00216498408
5,2+4,0.82,0,0,0.82,0.82,0.82,0.82,-3.71249775e-05,0.00382991339,0.000363279187,3.31627009e-05,0.00865886,0.00352817805
5,2+4,1,0,0,1,1,1,1,-3.71249775e-05,0.0121175054,0.000665258932,6.07295539e-05,0.00501172,0.0052225247
# step7_json,C:\Users\weishan\Desktop\RbONN\src\calib_data\calib_step7_result_0828_2333.json
# pred_method,bounded
# sweep,min=0.1,max=1.0,points=6,x_eq_w
