trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,std_ratio
0,1,0,0,0,-2.87134828e-05,5.0000049e-05,1.74134
1,1,0,0,0,-4.16052496e-05,5.0000049e-05,1.20177
0,1,0.5,0,0,1.15211433e-05,5.00000168e-05,4.33985
1,1,0.5,0,0,-1.52549924e-05,5.00000168e-05,3.27762
0,1,1,0,0,-3.27834694e-05,5.00000014e-05,1.52516
1,1,1,0,0,1.20797533e-05,5.00000014e-05,4.13916
2,1,1,0,0,5.92000041e-05,5.00000014e-05,0.844595
0,1,0,0.5,0,1.78540811e-05,5.00000348e-05,2.80048
1,1,0,0.5,0,-6.46867863e-05,5.00000348e-05,0.772956
0,1,0,1,0,-8.72711027e-05,5.0000023e-05,0.572928
1,1,0,1,0,-5.51637375e-05,5.0000023e-05,0.906393
0,1,1,0.2,0.2,0.00532516062,5.1120831e-05,0.00959987
1,1,1,0.2,0.2,0.00520419049,5.1120831e-05,0.00982301
2,1,1,0.2,0.2,0.00531186319,5.1120831e-05,0.0096239
3,1,1,0.2,0.2,0.005259356,5.1120831e-05,0.00971998
0,1,1,0.45,0.45,0.0119437551,5.54481681e-05,0.00464244
1,1,1,0.45,0.45,0.0119541798,5.54481681e-05,0.00463839
2,1,1,0.45,0.45,0.0119668197,5.54481681e-05,0.00463349
3,1,1,0.45,0.45,0.0120071822,5.54481681e-05,0.00461792
0,1,1,0.7,0.7,0.0187106948,6.2375025e-05,0.00333366
1,1,1,0.7,0.7,0.0186376506,6.2375025e-05,0.00334672
2,1,1,0.7,0.7,0.0187309012,6.2375025e-05,0.00333006
3,1,1,0.7,0.7,0.0186041765,6.2375025e-05,0.00335274
0,1,1,0.9,0.9,0.0239990672,6.92758835e-05,0.00288661
1,1,1,0.9,0.9,0.0240373047,6.92758835e-05,0.00288202
2,1,1,0.9,0.9,0.0239812288,6.92758835e-05,0.00288875
3,1,1,0.9,0.9,0.0239232094,6.92758835e-05,0.00289576
4,1,1,0.9,0.9,0.0239108627,6.92758835e-05,0.00289726
5,1,1,0.9,0.9,0.0239430066,6.92758835e-05,0.00289337
0,1,1,1,1,0.0266553287,7.30656994e-05,0.00274113
1,1,1,1,1,0.0265654715,7.30656994e-05,0.0027504
