trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v,std_ratio
0,2,1,36.87,36.87,0.1,0.1,1,1,-0.000109268832,0.0230947245,6.80418024e-05,0.00294621
0,2,1,53.13,53.13,0.2,0.2,1,1,-0.000109268832,0.0207697399,6.50128788e-05,0.00313017
0,2,1,66.42,66.42,0.3,0.3,1,1,-0.000109268832,0.020580889,6.48612224e-05,0.00315153
0,2,1,78.46,78.46,0.4,0.4,1,1,-0.000109268832,0.0226940235,6.77471609e-05,0.00298524
0,2,1,90,90,0.5,0.5,1,1,-0.000109268832,0.0275276031,7.43147705e-05,0.00269965
0,2,1,101.5,101.5,0.6,0.6,1,1,-0.000109268832,0.0346526408,8.55001645e-05,0.00246735
0,2,1,113.6,113.6,0.7,0.7,1,1,-0.000109268832,0.0445181034,0.000102209348,0.00229591
0,2,1,126.9,126.9,0.8,0.8,1,1,-0.000109268832,0.0573680902,0.000125211682,0.0021826
0,2,1,143.1,143.1,0.9,0.9,1,1,-0.000109268832,0.0738996699,0.000155492704,0.00210411
0,2,1,180,180,1,1,1,1,-0.000109268832,0.0968819347,0.000200130363,0.00206571
0,3,1,36.87,36.87,0.1,0.1,1,1,-3.06690326e-05,0.0226287428,6.75756767e-05,0.00298628
0,3,1,53.13,53.13,0.2,0.2,1,1,-3.06690326e-05,0.0195309757,6.33212533e-05,0.00324209
0,3,1,66.42,66.42,0.3,0.3,1,1,-3.06690326e-05,0.0179960777,6.1541198e-05,0.0034197
0,3,1,78.46,78.46,0.4,0.4,1,1,-3.06690326e-05,0.018626598,6.2272929e-05,0.00334323
0,3,1,90,90,0.5,0.5,1,1,-3.06690326e-05,0.0215371724,6.59913417e-05,0.00306407
0,3,1,101.5,101.5,0.6,0.6,1,1,-3.06690326e-05,0.0271842874,7.37648648e-05,0.00271351
0,3,1,113.6,113.6,0.7,0.7,1,1,-3.06690326e-05,0.0356560301,8.7041393e-05,0.00244114
0,3,1,126.9,126.9,0.8,0.8,1,1,-3.06690326e-05,0.0475960189,0.00010740793,0.00225666
0,3,1,143.1,143.1,0.9,0.9,1,1,-3.06690326e-05,0.0637896454,0.000137066125,0.00214872
0,3,1,180,180,1,1,1,1,-3.06690326e-05,0.0918896225,0.000191002816,0.00207861
0,4,1,36.87,36.87,0.1,0.1,1,1,1.64427678e-05,0.0220715371,6.68694594e-05,0.00302967
0,4,1,53.13,53.13,0.2,0.2,1,1,1.64427678e-05,0.0176469211,6.12187049e-05,0.00346909
0,4,1,66.42,66.42,0.3,0.3,1,1,1.64427678e-05,0.0146147564,5.79288373e-05,0.00396372
0,4,1,78.46,78.46,0.4,0.4,1,1,1.64427678e-05,0.0135339501,5.69131927e-05,0.00420522
0,4,1,90,90,0.5,0.5,1,1,1.64427678e-05,0.0150159232,5.82891391e-05,0.00388182
0,4,1,101.5,101.5,0.6,0.6,1,1,1.64427678e-05,0.019209635,6.30712507e-05,0.00328331
0,4,1,113.6,113.6,0.7,0.7,1,1,1.64427678e-05,0.026825048,7.33840365e-05,0.00273565
0,4,1,126.9,126.9,0.8,0.8,1,1,1.64427678e-05,0.0387413586,9.2134339e-05,0.00237819
0,4,1,143.1,143.1,0.9,0.9,1,1,1.64427678e-05,0.056332243,0.00012336854,0.00219002
0,4,1,180,180,1,1,1,1,1.64427678e-05,0.0933412465,0.000192745236,0.00206495
0,5,1,36.87,36.87,0.1,0.1,1,1,-1.7427229e-05,0.0233203282,6.84208287e-05,0.00293396
0,5,1,53.13,53.13,0.2,0.2,1,1,-1.7427229e-05,0.0188135262,6.27232743e-05,0.00333395
0,5,1,66.42,66.42,0.3,0.3,1,1,-1.7427229e-05,0.0150165242,5.84053337e-05,0.0038894
0,5,1,78.46,78.46,0.4,0.4,1,1,-1.7427229e-05,0.0124349148,5.57897061e-05,0.00448654
0,5,1,90,90,0.5,0.5,1,1,-1.7427229e-05,0.0112389149,5.48224616e-05,0.00487791
0,5,1,101.5,101.5,0.6,0.6,1,1,-1.7427229e-05,0.012159728,5.56144645e-05,0.00457366
0,5,1,113.6,113.6,0.7,0.7,1,1,-1.7427229e-05,0.0158663341,5.91157312e-05,0.00372586
0,5,1,126.9,126.9,0.8,0.8,1,1,-1.7427229e-05,0.0228288793,6.78273533e-05,0.00297112
0,5,1,143.1,143.1,0.9,0.9,1,1,-1.7427229e-05,0.0353973498,8.67541794e-05,0.00245087
0,5,1,180,180,1,1,1,1,-1.7427229e-05,0.0677887613,0.000144631777,0.00213357
