trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,std_ratio
0,1,1,1,1,0.0410200424,0.00182668444,0.0445315
0,1,1,0.9,0.9,0.0395182314,0.00169161637,0.042806
0,1,1,0.7,0.7,0.0305391247,0.0016198792,0.0530428
0,1,1,0.45,0.45,0.0204221197,0.00129929408,0.0636219
0,1,1,0.25,0.25,0.0115439143,0.000887955252,0.0769198
0,1,0.5,0.5,0.25,0.0116549622,0.000853620367,0.0732409
0,1,1,0.2,0.2,0.00905882311,0.00081359512,0.0898125
0,1,1,0,0,0.00092606233,0.000278931454,0.301202
0,1,0,1,0,-2.09179495e-05,0.000101545713,4.85448
0,1,0.5,0,0,0.00018113155,0.000145449428,0.803004
0,1,0,0.5,0,-3.9709067e-05,7.78118278e-05,1.95955
0,1,0,0,0,-6.24987525e-05,5.97971479e-05,0.956773
1,1,1,1,1,0.041374922,0.00170704384,0.0412579
1,1,1,0.9,0.9,0.0391975877,0.00169571214,0.0432606
1,1,1,0.7,0.7,0.0300775033,0.00147083925,0.0489016
1,1,1,0.45,0.45,0.0201767848,0.00118402162,0.0586824
1,1,1,0.25,0.25,0.0114874563,0.0008236319,0.0716984
1,1,0.5,0.5,0.25,0.0116064447,0.000881721076,0.0759682
1,1,1,0.2,0.2,0.00908016141,0.000749373356,0.0825286
1,1,1,0,0,0.00096145643,0.000284945483,0.296369
1,1,0,1,0,-1.73673612e-05,8.30949996e-05,4.78455
1,1,0.5,0,0,0.000200143183,0.000154056314,0.769731
1,1,0,0.5,0,-4.54416198e-05,7.94805504e-05,1.74907
1,1,0,0,0,-6.20225739e-05,5.77054699e-05,0.930395
2,1,1,0.9,0.9,0.0393876474,0.00153930298,0.0390809
2,1,1,0.7,0.7,0.0304695897,0.00154567403,0.0507284
2,1,1,0.45,0.45,0.0203899774,0.00127664577,0.0626114
2,1,1,0.25,0.25,0.0114934738,0.000876574854,0.0762672
2,1,0.5,0.5,0.25,0.0114501601,0.000937494861,0.0818761
2,1,1,0.2,0.2,0.00916261854,0.000816709545,0.0891349
2,1,1,0,0,0.000913242784,0.000275481543,0.301652
3,1,1,0.9,0.9,0.039242325,0.0016603764,0.0423109
3,1,1,0.7,0.7,0.0307244286,0.00154786856,0.0503791
3,1,1,0.45,0.45,0.0203491413,0.00127236069,0.0625265
3,1,1,0.2,0.2,0.0090299753,0.000803160448,0.0889438
4,1,1,0.9,0.9,0.0392843291,0.00163648964,0.0416576
5,1,1,0.9,0.9,0.0396609432,0.00167253506,0.0421708
0,3,1,1,1,0.0354414444,0.00157471923,0.0444316
0,3,1,0.9,0.9,0.0343468834,0.00175322914,0.0510448
0,3,1,0.7,0.7,0.0264378318,0.00133304909,0.050422
0,3,1,0.45,0.45,0.0172356359,0.00108183381,0.0627673
0,3,1,0.25,0.25,0.00898013592,0.000758336251,0.084446
0,3,0.5,0.5,0.25,0.00983570716,0.000796323723,0.0809625
0,3,1,0.2,0.2,0.00704306716,0.000716704522,0.10176
0,3,1,0,0,-5.79660498e-05,7.01060416e-05,1.20943
0,3,0,1,0,-4.62221612e-05,7.80362039e-05,1.68829
0,3,0.5,0,0,-5.65073352e-05,6.62636684e-05,1.17266
0,3,0,0.5,0,-3.54619553e-05,6.30626423e-05,1.77832
0,3,0,0,0,-5.40933693e-05,5.76125466e-05,1.06506
1,3,1,1,1,0.0351925238,0.00160614067,0.0456387
1,3,1,0.9,0.9,0.0346119628,0.00178586828,0.0515969
1,3,1,0.7,0.7,0.0267508418,0.00150966208,0.0564342
1,3,1,0.45,0.45,0.0172998569,0.00111751823,0.064597
1,3,1,0.25,0.25,0.00887155967,0.000818578094,0.0922699
1,3,0.5,0.5,0.25,0.00983824855,0.000847707743,0.0861645
1,3,1,0.2,0.2,0.00716185435,0.000738401653,0.103102
1,3,1,0,0,-3.72144489e-05,0.00010880916,2.92384
1,3,0,1,0,-3.15579825e-05,8.40490545e-05,2.66332
1,3,0.5,0,0,-3.79556647e-05,8.77379712e-05,2.31159
1,3,0,0.5,0,-4.5183348e-05,6.83480761e-05,1.51268
1,3,0,0,0,-6.2692154e-05,6.53608502e-05,1.04257
2,3,1,0.9,0.9,0.0344738962,0.0015857717,0.0459992
2,3,1,0.7,0.7,0.0267876698,0.00140547266,0.0524671
2,3,1,0.45,0.45,0.0173473629,0.00111464612,0.0642545
2,3,1,0.25,0.25,0.00898965415,0.000785165021,0.087341
2,3,0.5,0.5,0.25,0.00984391812,0.000849276415,0.0862742
2,3,1,0.2,0.2,0.00706223416,0.0007358734,0.104198
2,3,1,0,0,-3.82995659e-05,7.60267837e-05,1.98506
3,3,1,0.9,0.9,0.0341463006,0.0017250123,0.0505183
3,3,1,0.7,0.7,0.0267077309,0.00136867765,0.0512465
3,3,1,0.45,0.45,0.0172511116,0.00112524473,0.0652274
3,3,1,0.2,0.2,0.00717629404,0.000712338619,0.0992627
4,3,1,0.9,0.9,0.0348345243,0.00163071722,0.0468132
5,3,1,0.9,0.9,0.0345207717,0.00167342259,0.0484758
0,5,1,1,1,0.0458997713,0.00184597864,0.0402176
0,5,1,0.9,0.9,0.0421823231,0.00184874445,0.0438275
0,5,1,0.7,0.7,0.0313978649,0.00161627422,0.0514772
0,5,1,0.45,0.45,0.0205135582,0.0011858553,0.0578084
0,5,1,0.25,0.25,0.0107890215,0.000900951409,0.0835063
0,5,0.5,0.5,0.25,0.0110959549,0.000890509955,0.0802554
0,5,1,0.2,0.2,0.00869043696,0.000803021506,0.0924029
0,5,1,0,0,-5.51581249e-05,7.49900107e-05,1.35955
0,5,0,1,0,-5.99792243e-05,7.08439298e-05,1.18114
0,5,0.5,0,0,-6.61401525e-05,6.93809291e-05,1.049
0,5,0,0.5,0,-6.28869135e-05,6.44437542e-05,1.02476
0,5,0,0,0,-6.19176464e-05,6.27719389e-05,1.0138
1,5,1,1,1,0.0454886132,0.00191036943,0.0419967
1,5,1,0.9,0.9,0.0423784328,0.00174762103,0.0412385
1,5,1,0.7,0.7,0.031125324,0.00161157292,0.0517769
1,5,1,0.45,0.45,0.0200804774,0.00124566083,0.0620334
1,5,1,0.25,0.25,0.0106773491,0.000869840844,0.081466
1,5,0.5,0.5,0.25,0.0110209233,0.000897366489,0.0814239
1,5,1,0.2,0.2,0.00867337415,0.000796115705,0.0917885
1,5,1,0,0,-2.41360518e-05,8.52925013e-05,3.53382
1,5,0,1,0,-5.50133816e-05,7.85419524e-05,1.42769
1,5,0.5,0,0,-6.05747368e-05,6.77065918e-05,1.11774
1,5,0,0.5,0,-4.84539297e-05,7.41224145e-05,1.52975
1,5,0,0,0,-6.76417234e-05,6.07036366e-05,0.897429
2,5,1,0.9,0.9,0.0419402637,0.00170845341,0.0407354
2,5,1,0.7,0.7,0.0311585323,0.00153403301,0.0492332
2,5,1,0.45,0.45,0.0208287064,0.00129162461,0.0620118
2,5,1,0.25,0.25,0.010828493,0.000905210916,0.0835953
2,5,0.5,0.5,0.25,0.0110615755,0.00083707876,0.0756745
2,5,1,0.2,0.2,0.00862922377,0.000757112707,0.0877382
2,5,1,0,0,-3.36727862e-05,7.43531186e-05,2.20811
3,5,1,0.9,0.9,0.0421415462,0.00189331565,0.0449275
3,5,1,0.7,0.7,0.0313872306,0.00172467392,0.0549483
3,5,1,0.45,0.45,0.0204826372,0.00123219465,0.060158
3,5,1,0.2,0.2,0.00862648426,0.000783131013,0.0907822
4,5,1,0.9,0.9,0.0418192081,0.00179629271,0.0429538
5,5,1,0.9,0.9,0.0420579457,0.00169938286,0.0404058
