trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v,std_ratio
0,1,1,36.87,36.87,0.1,0.1,1,1,-9.65507936e-05,0.0407984173,0.00193018972,0.0473104
0,1,1,53.13,53.13,0.2,0.2,1,1,-9.65507936e-05,0.0410576803,0.00179737277,0.0437768
0,1,1,66.42,66.42,0.3,0.3,1,1,-9.65507936e-05,0.0408903867,0.00171175398,0.041862
0,1,1,78.46,78.46,0.4,0.4,1,1,-9.65507936e-05,0.0414445642,0.00171860948,0.0414677
0,1,1,90,90,0.5,0.5,1,1,-9.65507936e-05,0.0411134809,0.00185803297,0.0451928
0,1,1,101.5,101.5,0.6,0.6,1,1,-9.65507936e-05,0.041222328,0.00179924733,0.0436474
0,1,1,113.6,113.6,0.7,0.7,1,1,-9.65507936e-05,0.0412940631,0.00169895755,0.0411429
0,1,1,126.9,126.9,0.8,0.8,1,1,-9.65507936e-05,0.0409889711,0.00180342375,0.0439978
0,1,1,143.1,143.1,0.9,0.9,1,1,-9.65507936e-05,0.040732403,0.00165994445,0.0407524
0,1,1,180,180,1,1,1,1,-9.65507936e-05,0.0408318013,0.00166487352,0.0407739
0,3,1,36.87,36.87,0.1,0.1,1,1,-0.00010193909,0.0342011912,0.00165436951,0.0483717
0,3,1,53.13,53.13,0.2,0.2,1,1,-0.00010193909,0.0273647361,0.00144535386,0.0528181
0,3,1,66.42,66.42,0.3,0.3,1,1,-0.00010193909,0.0220124975,0.00120793872,0.0548751
0,3,1,78.46,78.46,0.4,0.4,1,1,-0.00010193909,0.0192712273,0.00121482016,0.063038
0,3,1,90,90,0.5,0.5,1,1,-0.00010193909,0.0204021428,0.0012383225,0.0606957
0,3,1,101.5,101.5,0.6,0.6,1,1,-0.00010193909,0.0279937713,0.00142657127,0.0509603
0,3,1,113.6,113.6,0.7,0.7,1,1,-0.00010193909,0.0380163045,0.00177989101,0.0468191
0,3,1,126.9,126.9,0.8,0.8,1,1,-0.00010193909,0.0553736163,0.00218354327,0.0394329
0,3,1,143.1,143.1,0.9,0.9,1,1,-0.00010193909,0.0817607601,0.002396461,0.0293106
0,3,1,180,180,1,1,1,1,-0.00010193909,0.103530442,0.000955894487,0.00923298
0,5,1,36.87,36.87,0.1,0.1,1,1,-9.49946866e-05,0.0469593301,0.00196643243,0.0418752
0,5,1,53.13,53.13,0.2,0.2,1,1,-9.49946866e-05,0.0511623352,0.0020590215,0.0402449
0,5,1,66.42,66.42,0.3,0.3,1,1,-9.49946866e-05,0.0511652123,0.00188303721,0.0368031
0,5,1,78.46,78.46,0.4,0.4,1,1,-9.49946866e-05,0.0500482137,0.00186803593,0.0373247
0,5,1,90,90,0.5,0.5,1,1,-9.49946866e-05,0.0464449979,0.00192160446,0.0413738
0,5,1,101.5,101.5,0.6,0.6,1,1,-9.49946866e-05,0.0398733519,0.00181370957,0.0454868
0,5,1,113.6,113.6,0.7,0.7,1,1,-9.49946866e-05,0.033680877,0.00160517782,0.0476584
0,5,1,126.9,126.9,0.8,0.8,1,1,-9.49946866e-05,0.0205023058,0.0012058257,0.0588142
0,5,1,143.1,143.1,0.9,0.9,1,1,-9.49946866e-05,0.0103727176,0.000905903247,0.0873352
0,5,1,180,180,1,1,1,1,-9.49946866e-05,0.00103279447,0.000301088128,0.291528
