block,pairs,v,x_1,w_1,x_3,w_3,x_5,w_5,dark_v,voltage_mean_v,voltage_std_v,std_ratio,pred_v
0,1,0.1,0.1,0.1,0,0,0,0,-0.000109504886,0.0002751074,0.000157516037,0.572562,0.000519805125
0,1,0.28,0.28,0.28,0,0,0,0,-0.000109504886,0.00327012391,0.000520179793,0.15907,0.00362852631
0,1,0.46,0.46,0.46,0,0,0,0,-0.000109504886,0.00955975711,0.000766646152,0.0801951,0.00953119717
0,1,0.64,0.64,0.64,0,0,0,0,-0.000109504886,0.0180004182,0.00108810438,0.0604488,0.0182278177
0,1,0.82,0.82,0.82,0,0,0,0,-0.000109504886,0.0284571459,0.00136969216,0.0481317,0.0297183879
0,1,1,1,1,0,0,0,0,-0.000109504886,0.0410260091,0.00153015102,0.0372971,0.0440029077
1,3,0.1,0,0,0.1,0.1,0,0,-0.000109504886,0.000226710339,0.000156808706,0.69167,0.000394546735
1,3,0.28,0,0,0.28,0.28,0,0,-0.000109504886,0.00275754577,0.000464263875,0.168361,0.00307696768
1,3,0.46,0,0,0.46,0.46,0,0,-0.000109504886,0.00805818361,0.000811080826,0.100653,0.00829512168
1,3,0.64,0,0,0.64,0.64,0,0,-0.000109504886,0.0164326566,0.00108694446,0.0661454,0.0160490087
1,3,0.82,0,0,0.82,0.82,0,0,-0.000109504886,0.0263064929,0.00137135492,0.0521299,0.0263386289
1,3,1,0,0,1,1,0,0,-0.000109504886,0.0353816174,0.00150877382,0.0426429,0.039163982
2,5,0.1,0,0,0,0,0.1,0.1,-0.000109504886,0.000377741471,0.000238951686,0.63258,0.000474820947
2,5,0.28,0,0,0,0,0.28,0.28,-0.000109504886,0.00332239647,0.000475241159,0.143042,0.0037040271
2,5,0.46,0,0,0,0,0.46,0.46,-0.000109504886,0.00984144472,0.000834339716,0.0847782,0.00998619838
2,5,0.64,0,0,0,0,0.64,0.64,-0.000109504886,0.0174732925,0.00103515108,0.0592419,0.0193213348
2,5,0.82,0,0,0,0,0.82,0.82,-0.000109504886,0.0312450362,0.00160672502,0.0514234,0.0317094364
2,5,1,0,0,0,0,1,1,-0.000109504886,0.0452251871,0.00169919934,0.037572,0.0471505031
3,1+3,0.1,0.1,0.1,0.1,0.1,0,0,-0.000109504886,0.00113072872,0.000277045812,0.245015,0.00123189554
3,1+3,0.28,0.28,0.28,0.28,0.28,0,0,-0.000109504886,0.0101511591,0.000888254354,0.0875028,0.00919503646
3,1+3,0.46,0.46,0.46,0.46,0.46,0,0,-0.000109504886,0.0286951141,0.0015410534,0.0537044,0.0245455432
3,1+3,0.64,0.64,0.64,0.64,0.64,0,0,-0.000109504886,0.0560847017,0.00259131283,0.0462036,0.0472834157
3,1+3,0.82,0.82,0.82,0.82,0.82,0,0,-0.000109504886,0.090623037,0.0022269539,0.0245738,0.0774086539
3,1+3,1,1,1,1,1,0,0,-0.000109504886,0.103192644,0.00102575835,0.00994023,0.114921258
4,1+5,0.1,0.1,0.1,0,0,0.1,0.1,-0.000109504886,-7.39413882e-05,6.63995802e-05,0.898003,0.000104757292
4,1+5,0.28,0.28,0.28,0,0,0.28,0.28,-0.000109504886,6.46950841e-05,0.000116528363,1.80119,0.000355982169
4,1+5,0.46,0.46,0.46,0,0,0.46,0.46,-0.000109504886,0.000291555877,0.000191035726,0.655229,0.000687772157
4,1+5,0.64,0.64,0.64,0,0,0.64,0.64,-0.000109504886,0.000437456128,0.0001983755,0.453475,0.00110012725
4,1+5,0.82,0.82,0.82,0,0,0.82,0.82,-0.000109504886,0.00154866016,0.000329303297,0.212638,0.00159304746
4,1+5,1,1,1,0,0,1,1,-0.000109504886,0.00102298438,0.000267367706,0.26136,0.00216653278
5,3+5,0.1,0,0,0.1,0.1,0.1,0.1,-0.000109504886,0.000310989706,0.000164128051,0.52776,0.000668046704
5,3+5,0.28,0,0,0.28,0.28,0.28,0.28,-0.000109504886,0.00300956816,0.000486658686,0.161704,0.00520263831
5,3+5,0.46,0,0,0.46,0.46,0.46,0.46,-0.000109504886,0.00884651441,0.000876007233,0.0990229,0.0140213682
5,3+5,0.64,0,0,0.64,0.64,0.64,0.64,-0.000109504886,0.0141663332,0.00103018479,0.0727206,0.0271242363
5,3+5,0.82,0,0,0.82,0.82,0.82,0.82,-0.000109504886,0.026547633,0.00158859513,0.0598394,0.0445112427
5,3+5,1,0,0,1,1,1,1,-0.000109504886,0.0429978728,0.0018705139,0.0435025,0.0661823873
# step7_json,C:\Users\weishan\Desktop\RbONN\src\calib_data\calib_step7_result_0903_1704.json
# pred_method,auto
# sweep,min=0.1,max=1.0,points=6,x_eq_w
# note,sign-flipped copy: the collect ran with --flip but the DAQ reads positive
