block,pairs,v,x_2,w_2,x_4,w_4,x_5,w_5,dark_v,voltage_mean_v,voltage_std_v,std_ratio,pred_v
0,2,0.1,0.1,0.1,0,0,0,0,-5.12851406e-05,0.000223191783,0.00014314579,0.641358,0.00031129233
0,2,0.28,0.28,0.28,0,0,0,0,-5.12851406e-05,0.0023487219,0.000415178016,0.176768,0.00242384268
0,2,0.46,0.46,0.46,0,0,0,0,-5.12851406e-05,0.00661096785,0.000614083719,0.0928886,0.00653210981
0,2,0.64,0.64,0.64,0,0,0,0,-5.12851406e-05,0.0135002205,0.00108504349,0.0803723,0.0126360937
0,2,0.82,0.82,0.82,0,0,0,0,-5.12851406e-05,0.0210732552,0.0011283686,0.0535451,0.0207357944
0,2,1,1,1,0,0,0,0,-5.12851406e-05,0.0309721769,0.00161895427,0.0522712,0.0308312119
1,4,0.1,0,0,0.1,0.1,0,0,-5.12851406e-05,0.000236160317,0.000154060977,0.652358,0.000326817125
1,4,0.28,0,0,0.28,0.28,0,0,-5.12851406e-05,0.00254036443,0.000486255032,0.191412,0.00254928948
1,4,0.46,0,0,0.46,0.46,0,0,-5.12851406e-05,0.00730617215,0.000661382336,0.0905238,0.00687287809
1,4,0.64,0,0,0.64,0.64,0,0,-5.12851406e-05,0.0161334573,0.00116089772,0.0719559,0.0132975829
1,4,0.82,0,0,0.82,0.82,0,0,-5.12851406e-05,0.0257549205,0.00129536971,0.050296,0.0218234041
1,4,1,0,0,1,1,0,0,-5.12851406e-05,0.0320352713,0.00164328295,0.0512961,0.0324503414
2,5,0.1,0,0,0,0,0.1,0.1,-5.12851406e-05,0.000325839499,0.000181391656,0.55669,0.000438766007
2,5,0.28,0,0,0,0,0.28,0.28,-5.12851406e-05,0.0030806783,0.000424390304,0.137759,0.00339602983
2,5,0.46,0,0,0,0,0.46,0.46,-5.12851406e-05,0.00916213977,0.000775828182,0.0846776,0.00914006008
2,5,0.64,0,0,0,0,0.64,0.64,-5.12851406e-05,0.0165527906,0.00108001846,0.0652469,0.0176708568
2,5,0.82,0,0,0,0,0.82,0.82,-5.12851406e-05,0.0293811529,0.00167732259,0.0570884,0.0289884199
2,5,1,0,0,0,0,1,1,-5.12851406e-05,0.0416798708,0.00176357277,0.0423123,0.0430927495
3,2+4,0.1,0.1,0.1,0.1,0.1,0,0,-5.12851406e-05,0.000612196989,0.000219615128,0.358733,0.000757406168
3,2+4,0.28,0.28,0.28,0.28,0.28,0,0,-5.12851406e-05,0.00536477022,0.000657304137,0.122522,0.00590841839
3,2+4,0.46,0.46,0.46,0.46,0.46,0,0,-5.12851406e-05,0.0148696081,0.00101930645,0.0685497,0.0159293063
3,2+4,0.64,0.64,0.64,0.64,0.64,0,0,-5.12851406e-05,0.0331331759,0.0014587155,0.0440258,0.03082007
3,2+4,0.82,0.82,0.82,0.82,0.82,0,0,-5.12851406e-05,0.0537490077,0.00202823611,0.0377353,0.0505807094
3,2+4,1,1,1,1,1,0,0,-5.12851406e-05,0.0580171959,0.00208254396,0.0358953,0.0752112245
4,2+5,0.1,0.1,0.1,0,0,0.1,0.1,-5.12851406e-05,1.94760238e-05,0.000100197097,5.14464,0.000123123248
4,2+5,0.28,0.28,0.28,0,0,0.28,0.28,-5.12851406e-05,0.000581401627,0.000245170654,0.421689,0.000904701415
4,2+5,0.46,0.46,0.46,0,0,0.46,0.46,-5.12851406e-05,0.0018935443,0.000408671164,0.215823,0.00240622342
4,2+5,0.64,0.64,0.64,0,0,0.64,0.64,-5.12851406e-05,0.00263419891,0.000504449916,0.1915,0.00462768927
4,2+5,0.82,0.82,0.82,0,0,0.82,0.82,-5.12851406e-05,0.00823669106,0.000797511707,0.0968243,0.00756909895
4,2+5,1,1,1,0,0,1,1,-5.12851406e-05,0.00962799528,0.000844669473,0.0877306,0.0112304525
5,4+5,0.1,0,0,0.1,0.1,0.1,0.1,-5.12851406e-05,0.00133618228,0.000362650197,0.271408,0.00101677625
5,4+5,0.28,0,0,0.28,0.28,0.28,0.28,-5.12851406e-05,0.0106575322,0.000832570993,0.0781204,0.00791467337
5,4+5,0.46,0,0,0.46,0.46,0.46,0.46,-5.12851406e-05,0.0309614457,0.00153791397,0.0496719,0.0213281846
5,4+5,0.64,0,0,0.64,0.64,0.64,0.64,-5.12851406e-05,0.0562541847,0.00215536405,0.0383147,0.0412573099
5,4+5,0.82,0,0,0.82,0.82,0.82,0.82,-5.12851406e-05,0.0971543162,0.00187264233,0.0192749,0.0677020493
5,4+5,1,0,0,1,1,1,1,-5.12851406e-05,0.105463585,3.9776453e-06,3.77158e-05,0.100662403
# step7_json,C:\Users\weishan\Desktop\RbONN\src\calib_data\run_0904_0117\calib_step7_result_0904_0147.json
# pred_method,auto
# sweep,min=0.1,max=1.0,points=6,x_eq_w
