trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,std_ratio
0,3,0.9,0.277778,0.25,0.00725639319,0.000337391658,0.0464958
0,3,0.6,0.416667,0.25,0.00766300996,0.000406376547,0.0530309
0,3,0.7,0.357143,0.25,0.00749609898,0.000377517526,0.0503619
0,3,1,0.25,0.25,0.00703437007,0.000366649692,0.0521226
0,3,0.8,0.3125,0.25,0.00711093931,0.000353273804,0.0496803
0,3,0.5,0.5,0.25,0.00751525382,0.000358708729,0.0477308
0,3,0.277,0.902527,0.25,0.00714951892,0.000362651175,0.0507239
0,3,0.357,0.70028,0.25,0.00747961895,0.000344252021,0.0460253
0,3,1,0,0,0.000246522086,7.38814817e-05,0.299695
0,3,0,1,0,0.000186631537,6.98723827e-05,0.374387
0,3,0.5,0,0,0.000116120583,6.09198118e-05,0.524625
0,3,0,0.5,0,9.07727169e-05,6.0852229e-05,0.67038
0,3,0,0,0,-3.49872881e-05,3.51004599e-05,1.00323
1,3,0.9,0.277778,0.25,0.00718900624,0.00039569013,0.055041
1,3,0.6,0.416667,0.25,0.007508504,0.000348127646,0.0463644
1,3,0.7,0.357143,0.25,0.00732967487,0.000382435955,0.0521764
1,3,1,0.25,0.25,0.00710245032,0.000369086226,0.051966
1,3,0.8,0.3125,0.25,0.00723216543,0.000391008152,0.0540652
1,3,0.5,0.5,0.25,0.00759358123,0.000396855506,0.052262
1,3,0.277,0.902527,0.25,0.00710970204,0.000364377225,0.0512507
1,3,0.357,0.70028,0.25,0.00740750671,0.000375609465,0.0507066
1,3,1,0,0,0.000250151877,7.54286721e-05,0.301532
1,3,0,1,0,0.000203325473,6.90742558e-05,0.339723
1,3,0.5,0,0,0.000122526895,5.59771786e-05,0.456856
1,3,0,0.5,0,9.5418955e-05,5.25078418e-05,0.550287
1,3,0,0,0,-3.82349098e-05,3.5103165e-05,0.918092
2,3,0.9,0.277778,0.25,0.00710231138,0.000378692257,0.0533196
2,3,0.6,0.416667,0.25,0.00749417477,0.000365575288,0.0487813
2,3,0.7,0.357143,0.25,0.0073809726,0.000335378503,0.0454383
2,3,1,0.25,0.25,0.00709522913,0.000363026184,0.0511648
2,3,0.8,0.3125,0.25,0.00719880955,0.000385735316,0.0535832
2,3,0.5,0.5,0.25,0.00752259317,0.000349342292,0.0464391
2,3,0.277,0.902527,0.25,0.00710176418,0.000350042961,0.0492896
2,3,0.357,0.70028,0.25,0.00741526769,0.000356344742,0.0480555
