trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,std_ratio
0,3,0.9,0.277778,0.25,0.00845959149,0.000370673076,0.0438169
0,3,0.6,0.416667,0.25,0.0079772963,0.000407678515,0.0511048
0,3,0.7,0.357143,0.25,0.00843876734,0.000394007289,0.0466901
0,3,1,0.25,0.25,0.00803883834,0.00038011511,0.0472848
0,3,0.8,0.3125,0.25,0.0079128611,0.000386812019,0.048884
0,3,0.5,0.5,0.25,0.00875814894,0.000383535591,0.0437919
0,3,0.277,0.902527,0.25,0.0082414677,0.000389993086,0.0473208
0,3,0.357,0.70028,0.25,0.00825921519,0.000397526341,0.0481312
0,3,1,0,0,-2.45667072e-05,4.20681282e-05,1.7124
0,3,0,1,0,-8.23065805e-06,4.43476546e-05,5.38811
0,3,0.5,0,0,-1.83162095e-05,3.9657416e-05,2.16515
0,3,0,0.5,0,-2.32519671e-05,4.15167835e-05,1.78552
0,3,0,0,0,-3.67349739e-05,3.83150725e-05,1.04301
1,3,0.9,0.277778,0.25,0.00841703378,0.000374781796,0.0445266
1,3,0.6,0.416667,0.25,0.00780651797,0.000341171107,0.0437034
1,3,0.7,0.357143,0.25,0.00836260195,0.000369755756,0.0442154
1,3,1,0.25,0.25,0.00806992756,0.00037625878,0.0466248
1,3,0.8,0.3125,0.25,0.0079303975,0.000368990846,0.0465287
1,3,0.5,0.5,0.25,0.00869372791,0.000406280692,0.0467326
1,3,0.277,0.902527,0.25,0.00809103522,0.000368495443,0.0455437
1,3,0.357,0.70028,0.25,0.00837380789,0.000373307318,0.0445804
1,3,1,0,0,-4.80950524e-06,4.29705976e-05,8.93452
1,3,0,1,0,3.42355772e-08,4.41462077e-05,1289.48
1,3,0.5,0,0,-2.35282748e-05,3.87334225e-05,1.64625
1,3,0,0.5,0,-2.0801462e-05,4.22140234e-05,2.02938
1,3,0,0,0,-4.21076319e-05,3.49229775e-05,0.829374
2,3,0.9,0.277778,0.25,0.00854964135,0.00039107615,0.0457418
2,3,0.6,0.416667,0.25,0.00790796589,0.00038191122,0.0482945
2,3,0.7,0.357143,0.25,0.00840957892,0.000397424315,0.0472585
2,3,1,0.25,0.25,0.00795217645,0.000377220388,0.0474361
2,3,0.8,0.3125,0.25,0.00786846536,0.000361571265,0.0459519
2,3,0.5,0.5,0.25,0.00876664608,0.000408372435,0.0465825
2,3,0.277,0.902527,0.25,0.00807065254,0.000405758103,0.0502757
2,3,0.357,0.70028,0.25,0.00828948442,0.00038505375,0.0464509
2,3,1,0,0,-1.84361609e-05,4.08233257e-05,2.21431
0,4,0.9,0.277778,0.25,0.00822353764,0.000365224849,0.0444121
0,4,0.6,0.416667,0.25,0.00931313756,0.000409665201,0.0439879
0,4,0.7,0.357143,0.25,0.00952283183,0.000441704979,0.0463838
0,4,1,0.25,0.25,0.00812723257,0.000346150716,0.0425915
0,4,0.8,0.3125,0.25,0.0090305795,0.000355558989,0.0393728
0,4,0.5,0.5,0.25,0.00907196064,0.000386806334,0.0426376
0,4,0.277,0.902527,0.25,0.00922995603,0.000359570573,0.0389569
0,4,0.357,0.70028,0.25,0.00967804488,0.00042421679,0.0438329
0,4,1,0,0,-6.22911078e-06,3.93840054e-05,6.32257
0,4,0,1,0,-4.59508979e-06,4.06198308e-05,8.83983
0,4,0.5,0,0,-1.52637824e-05,4.21646207e-05,2.7624
0,4,0,0.5,0,-1.63118653e-05,3.79296692e-05,2.32528
0,4,0,0,0,-3.64789197e-05,3.45907261e-05,0.948239
1,4,0.9,0.277778,0.25,0.00813770528,0.000388861237,0.0477851
1,4,0.6,0.416667,0.25,0.00939815131,0.000416801585,0.0443493
1,4,0.7,0.357143,0.25,0.00935204559,0.000408690512,0.0437007
1,4,1,0.25,0.25,0.00816495687,0.000348813112,0.0427208
1,4,0.8,0.3125,0.25,0.00912544409,0.000427439052,0.0468404
1,4,0.5,0.5,0.25,0.00922693937,0.000422919416,0.0458353
1,4,0.277,0.902527,0.25,0.00929556029,0.000433094272,0.0465915
1,4,0.357,0.70028,0.25,0.00958289617,0.000402266693,0.0419776
1,4,1,0,0,-1.05654403e-05,4.33999035e-05,4.10772
1,4,0,1,0,-6.71365849e-06,4.47285909e-05,6.66233
1,4,0.5,0,0,-1.07720313e-05,3.81264482e-05,3.53939
1,4,0,0.5,0,-1.75501049e-05,4.15455528e-05,2.36725
1,4,0,0,0,-3.20438986e-05,3.53835079e-05,1.10422
2,4,0.9,0.277778,0.25,0.00823116644,0.000424846763,0.0516144
2,4,0.6,0.416667,0.25,0.00928681368,0.000418357551,0.0450486
2,4,0.7,0.357143,0.25,0.00933878416,0.000401233114,0.0429642
2,4,1,0.25,0.25,0.00804158154,0.000373678994,0.0464683
2,4,0.8,0.3125,0.25,0.00910712618,0.000398646421,0.043773
2,4,0.5,0.5,0.25,0.00913864462,0.000417157722,0.0456477
2,4,0.277,0.902527,0.25,0.00936147443,0.000400620248,0.0427946
2,4,0.357,0.70028,0.25,0.00947426888,0.000403717638,0.042612
2,4,1,0,0,-6.68437846e-06,4.1798289e-05,6.25313
0,5,0.9,0.277778,0.25,0.0107357346,0.000422937457,0.0393953
0,5,0.6,0.416667,0.25,0.0115247254,0.000510026233,0.044255
0,5,0.7,0.357143,0.25,0.0112432175,0.000467318213,0.0415645
0,5,1,0.25,0.25,0.0108115839,0.000450073218,0.0416288
0,5,0.8,0.3125,0.25,0.0107097002,0.000450838393,0.0420963
0,5,0.5,0.5,0.25,0.0109332292,0.000447527223,0.0409328
0,5,0.277,0.902527,0.25,0.0112461615,0.000502932586,0.0447204
0,5,0.357,0.70028,0.25,0.0108372821,0.000453628076,0.0418581
0,5,1,0,0,9.01294554e-06,4.32893177e-05,4.80302
0,5,0,1,0,9.50101051e-06,4.06986412e-05,4.28361
0,5,0.5,0,0,-1.67764296e-06,3.83744307e-05,22.874
0,5,0,0.5,0,-2.73255877e-06,4.0334721e-05,14.7608
0,5,0,0,0,-2.75769119e-05,3.77211148e-05,1.36785
1,5,0.9,0.277778,0.25,0.010805337,0.000440376691,0.0407555
1,5,0.6,0.416667,0.25,0.0115450878,0.000468602226,0.0405889
1,5,0.7,0.357143,0.25,0.0111985412,0.000474289349,0.0423528
1,5,1,0.25,0.25,0.0106469733,0.000453687134,0.0426118
1,5,0.8,0.3125,0.25,0.0107756956,0.000487193129,0.0452122
1,5,0.5,0.5,0.25,0.0108186121,0.00044422866,0.0410615
1,5,0.277,0.902527,0.25,0.0114277145,0.000445706768,0.0390023
1,5,0.357,0.70028,0.25,0.0113647867,0.000551739944,0.0485482
1,5,1,0,0,7.50960994e-08,4.43637187e-05,590.759
1,5,0,1,0,-1.42186409e-05,4.26731419e-05,3.00121
1,5,0.5,0,0,-2.79420968e-05,4.19608215e-05,1.50171
1,5,0,0.5,0,-2.6397027e-05,3.62630536e-05,1.37376
1,5,0,0,0,-4.89263162e-05,3.41377513e-05,0.697738
2,5,0.9,0.277778,0.25,0.0110289348,0.000443802857,0.0402399
2,5,0.6,0.416667,0.25,0.011746305,0.000465648391,0.0396421
2,5,0.7,0.357143,0.25,0.0112810944,0.000444209794,0.0393765
2,5,1,0.25,0.25,0.0107586732,0.000400322689,0.0372093
2,5,0.8,0.3125,0.25,0.0105789152,0.000467752708,0.0442156
2,5,0.5,0.5,0.25,0.0109562702,0.000482763931,0.0440628
2,5,0.277,0.902527,0.25,0.0112346392,0.000427380056,0.0380413
2,5,0.357,0.70028,0.25,0.0111455877,0.000439904549,0.0394689
2,5,1,0,0,5.64238601e-06,4.42188546e-05,7.83691
0,6,0.9,0.277778,0.25,0.0160272162,0.000539728039,0.0336757
0,6,0.6,0.416667,0.25,0.0174948712,0.000597964464,0.0341794
0,6,0.7,0.357143,0.25,0.0161895213,0.000550713027,0.0340166
0,6,1,0.25,0.25,0.0147090438,0.000638406655,0.0434023
0,6,0.8,0.3125,0.25,0.0159013198,0.000650439925,0.0409048
0,6,0.5,0.5,0.25,0.0166035758,0.00056174437,0.0338327
0,6,0.277,0.902527,0.25,0.0167785324,0.000645619703,0.0384789
0,6,0.357,0.70028,0.25,0.0157867051,0.000624540248,0.0395612
0,6,1,0,0,6.51508096e-06,4.5375018e-05,6.96461
0,6,0,1,0,2.20886368e-05,4.86986079e-05,2.20469
0,6,0.5,0,0,-1.74917582e-05,3.92511311e-05,2.24398
0,6,0,0.5,0,-4.86978833e-06,3.99980009e-05,8.2135
0,6,0,0,0,-4.10236082e-05,3.7950636e-05,0.925093
1,6,0.9,0.277778,0.25,0.0158421211,0.000570207008,0.0359931
1,6,0.6,0.416667,0.25,0.0171016821,0.000534565972,0.0312581
1,6,0.7,0.357143,0.25,0.0159932108,0.000551331187,0.0344728
1,6,1,0.25,0.25,0.0145870694,0.000555496241,0.0380814
1,6,0.8,0.3125,0.25,0.0158958711,0.000624338532,0.0392768
1,6,0.5,0.5,0.25,0.0165398881,0.000616274237,0.0372599
1,6,0.277,0.902527,0.25,0.0167943893,0.000559551195,0.0333177
1,6,0.357,0.70028,0.25,0.0160645425,0.000572656317,0.0356472
1,6,1,0,0,-8.55874914e-06,4.53822793e-05,5.30244
1,6,0,1,0,1.2217542e-05,4.62968897e-05,3.78938
1,6,0.5,0,0,-1.22930959e-05,4.42642721e-05,3.60074
1,6,0,0.5,0,-7.19726705e-06,4.18845286e-05,5.8195
1,6,0,0,0,-5.04904199e-05,3.70658173e-05,0.734116
2,6,0.9,0.277778,0.25,0.0157007034,0.000546197413,0.0347881
2,6,0.6,0.416667,0.25,0.0174650634,0.000644956456,0.0369284
2,6,0.7,0.357143,0.25,0.0160272042,0.000549326307,0.0342746
2,6,1,0.25,0.25,0.0144779274,0.000550971151,0.0380559
2,6,0.8,0.3125,0.25,0.0157879805,0.000630323791,0.0399243
2,6,0.5,0.5,0.25,0.0167536763,0.000545670945,0.0325702
2,6,0.277,0.902527,0.25,0.0166908342,0.000621552745,0.0372392
2,6,0.357,0.70028,0.25,0.0159213522,0.00055903185,0.0351121
2,6,1,0,0,-1.6578498e-05,4.83628708e-05,2.9172
