trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v,std_ratio
0,2,2,36.87,36.87,0.1,0.1,0.9,0.9,-0.000114691118,0.0132064525,0.000522314957,0.03955
0,2,2,51.52,51.52,0.188889,0.188889,0.9,0.9,-0.000114691118,0.013193394,0.000579520311,0.043925
0,2,2,63.61,63.61,0.277778,0.277778,0.9,0.9,-0.000114691118,0.0131867584,0.000540245441,0.0409688
0,2,2,74.53,74.53,0.366667,0.366667,0.9,0.9,-0.000114691118,0.0133049626,0.000558489155,0.041976
0,2,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-0.000114691118,0.0133939789,0.000545953573,0.0407611
0,2,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-0.000114691118,0.013158718,0.000513097354,0.038993
0,2,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-0.000114691118,0.013329936,0.00051171359,0.0383883
0,2,2,116.4,116.4,0.722222,0.722222,0.9,0.9,-0.000114691118,0.0133288972,0.000530761461,0.0398204
0,2,2,128.5,128.5,0.811111,0.811111,0.9,0.9,-0.000114691118,0.0133780097,0.000554072766,0.0414167
0,2,2,143.1,143.1,0.9,0.9,0.9,0.9,-0.000114691118,0.0132347111,0.000554180926,0.0418733
0,3,2,36.87,36.87,0.1,0.1,0.9,0.9,-0.000129097902,0.0112074658,0.00052024987,0.0464199
0,3,2,51.52,51.52,0.188889,0.188889,0.9,0.9,-0.000129097902,0.010862328,0.000459596454,0.042311
0,3,2,63.61,63.61,0.277778,0.277778,0.9,0.9,-0.000129097902,0.0117940813,0.000490213975,0.0415644
0,3,2,74.53,74.53,0.366667,0.366667,0.9,0.9,-0.000129097902,0.0137957629,0.000617735388,0.0447772
0,3,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-0.000129097902,0.0172201377,0.000688117984,0.0399601
0,3,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-0.000129097902,0.0218338894,0.000782349945,0.0358319
0,3,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-0.000129097902,0.0274586496,0.00087240324,0.0317715
0,3,2,116.4,116.4,0.722222,0.722222,0.9,0.9,-0.000129097902,0.0340814238,0.00120393379,0.0353252
0,3,2,128.5,128.5,0.811111,0.811111,0.9,0.9,-0.000129097902,0.0414733136,0.00122622318,0.0295666
0,3,2,143.1,143.1,0.9,0.9,0.9,0.9,-0.000129097902,0.0498161644,0.00157699135,0.0316562
0,4,2,36.87,36.87,0.1,0.1,0.9,0.9,-0.000106125057,0.00995378351,0.000477846517,0.0480065
0,4,2,51.52,51.52,0.188889,0.188889,0.9,0.9,-0.000106125057,0.00788129854,0.000359796933,0.045652
0,4,2,63.61,63.61,0.277778,0.277778,0.9,0.9,-0.000106125057,0.00622734006,0.000369265072,0.0592974
0,4,2,74.53,74.53,0.366667,0.366667,0.9,0.9,-0.000106125057,0.00578292904,0.000326489612,0.0564575
0,4,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-0.000106125057,0.00636017695,0.00033783445,0.0531171
0,4,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-0.000106125057,0.00831358692,0.000399060745,0.048001
0,4,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-0.000106125057,0.0118326028,0.000568441983,0.0480403
0,4,2,116.4,116.4,0.722222,0.722222,0.9,0.9,-0.000106125057,0.0168654161,0.00070023682,0.0415191
0,4,2,128.5,128.5,0.811111,0.811111,0.9,0.9,-0.000106125057,0.0239824271,0.000999296034,0.0416678
0,4,2,143.1,143.1,0.9,0.9,0.9,0.9,-0.000106125057,0.0337429222,0.00132879708,0.03938
0,5,2,36.87,36.87,0.1,0.1,0.9,0.9,-0.000114099589,0.0119850953,0.000538715164,0.0449488
0,5,2,51.52,51.52,0.188889,0.188889,0.9,0.9,-0.000114099589,0.0102536695,0.000487396248,0.0475338
0,5,2,63.61,63.61,0.277778,0.277778,0.9,0.9,-0.000114099589,0.00775637927,0.000403000972,0.0519574
0,5,2,74.53,74.53,0.366667,0.366667,0.9,0.9,-0.000114099589,0.00516241646,0.000327576935,0.0634542
0,5,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-0.000114099589,0.00284883056,0.000236134599,0.0828883
0,5,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-0.000114099589,0.00105004607,0.000142496422,0.135705
0,5,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-0.000114099589,0.000114949817,6.69846952e-05,0.58273
