block,pairs,v,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,dark_v,voltage_mean_v,voltage_std_v,std_ratio,pred_v
0,2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,-8.10112243e-05,0.000179387339,6.98479317e-05,0.389369,0.000236901642
0,2,0.26,0.26,0.26,0,0,0,0,0,0,0,0,-8.10112243e-05,0.00150485501,0.000165269511,0.109824,0.00158746041
0,2,0.42,0.42,0.42,0,0,0,0,0,0,0,0,-8.10112243e-05,0.00427352299,0.00027099662,0.0634129,0.00413373136
0,2,0.58,0.58,0.58,0,0,0,0,0,0,0,0,-8.10112243e-05,0.00810563794,0.000396415024,0.0489061,0.00787571449
0,2,0.74,0.74,0.74,0,0,0,0,0,0,0,0,-8.10112243e-05,0.0131742824,0.000477263391,0.0362269,0.0128134098
0,2,0.9,0.9,0.9,0,0,0,0,0,0,0,0,-8.10112243e-05,0.0189627801,0.0006319426,0.0333254,0.0189468173
1,3,0.1,0,0,0.1,0.1,0,0,0,0,0,0,-8.10112243e-05,0.000187506493,6.21677132e-05,0.33155,0.000240087804
1,3,0.26,0,0,0.26,0.26,0,0,0,0,0,0,-8.10112243e-05,0.00159918122,0.000151565968,0.0947772,0.00161166384
1,3,0.42,0,0,0.42,0.42,0,0,0,0,0,0,-8.10112243e-05,0.00438403864,0.000271050208,0.0618266,0.00419854516
1,3,0.58,0,0,0.58,0.58,0,0,0,0,0,0,-8.10112243e-05,0.00841793305,0.00035914514,0.0426643,0.00800073177
1,3,0.74,0,0,0.74,0.74,0,0,0,0,0,0,-8.10112243e-05,0.013181116,0.000598098175,0.0453754,0.0130182237
1,3,0.9,0,0,0.9,0.9,0,0,0,0,0,0,-8.10112243e-05,0.0194912306,0.000626042333,0.0321192,0.0192510209
2,4,0.1,0,0,0,0,0.1,0.1,0,0,0,0,-8.10112243e-05,0.000227110691,7.34147313e-05,0.323255,0.000281572486
2,4,0.26,0,0,0,0,0.26,0.26,0,0,0,0,-8.10112243e-05,0.00181615502,0.000170652538,0.0939636,0.00188208754
2,4,0.42,0,0,0,0,0.42,0.42,0,0,0,0,-8.10112243e-05,0.00499486851,0.000294764799,0.0590135,0.00489798607
2,4,0.58,0,0,0,0,0.58,0.58,0,0,0,0,-8.10112243e-05,0.00957347022,0.000388970996,0.0406301,0.00932926808
2,4,0.74,0,0,0,0,0.74,0.74,0,0,0,0,-8.10112243e-05,0.0153458138,0.000495791787,0.032308,0.0151759336
2,4,0.9,0,0,0,0,0.9,0.9,0,0,0,0,-8.10112243e-05,0.0220081632,0.000733642655,0.033335,0.0224379825
3,5,0.1,0,0,0,0,0,0,0.1,0.1,0,0,-8.10112243e-05,0.000305945027,8.54931984e-05,0.27944,0.000356118043
3,5,0.26,0,0,0,0,0,0,0.26,0.26,0,0,-8.10112243e-05,0.00235990177,0.000210209875,0.0890757,0.00239307212
3,5,0.42,0,0,0,0,0,0,0.42,0.42,0,0,-8.10112243e-05,0.0063921221,0.000315653885,0.0493817,0.00623576799
3,5,0.58,0,0,0,0,0,0,0.58,0.58,0,0,-8.10112243e-05,0.012179976,0.000469077893,0.0385122,0.0118842057
3,5,0.74,0,0,0,0,0,0,0.74,0.74,0,0,-8.10112243e-05,0.0198668466,0.000677246045,0.0340893,0.0193383851
3,5,0.9,0,0,0,0,0,0,0.9,0.9,0,0,-8.10112243e-05,0.0285783949,0.000851120052,0.0297819,0.0285983064
4,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,-8.10112243e-05,0.000521312897,9.78758767e-05,0.187749,0.000510612693
4,6,0.26,0,0,0,0,0,0,0,0,0.26,0.26,-8.10112243e-05,0.00350306206,0.000239493528,0.0683669,0.00342237407
4,6,0.42,0,0,0,0,0,0,0,0,0.42,0.42,-8.10112243e-05,0.00939255211,0.000374849753,0.0399093,0.00891232754
4,6,0.58,0,0,0,0,0,0,0,0,0.58,0.58,-8.10112243e-05,0.0179334565,0.00061287129,0.0341747,0.0169804731
4,6,0.74,0,0,0,0,0,0,0,0,0.74,0.74,-8.10112243e-05,0.0283470697,0.00100481744,0.035447,0.0276268107
4,6,0.9,0,0,0,0,0,0,0,0,0.9,0.9,-8.10112243e-05,0.0418336801,0.00112152301,0.0268091,0.0408513405
5,2+3,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,-8.10112243e-05,0.000999094075,0.000146162379,0.146295,0.000897755479
5,2+3,0.26,0.26,0.26,0.26,0.26,0,0,0,0,0,0,-8.10112243e-05,0.00626423877,0.00035910905,0.0573268,0.00604350263
5,2+3,0.42,0.42,0.42,0.42,0.42,0,0,0,0,0,0,-8.10112243e-05,0.0166575901,0.000550230253,0.0330318,0.0157545893
5,2+3,0.58,0.58,0.58,0.58,0.58,0,0,0,0,0,0,-8.10112243e-05,0.031276467,0.000773303847,0.0247248,0.0300310156
5,2+3,0.74,0.74,0.74,0.74,0.74,0,0,0,0,0,0,-8.10112243e-05,0.050714688,0.00153635743,0.0302941,0.0488727814
5,2+3,0.9,0.9,0.9,0.9,0.9,0,0,0,0,0,0,-8.10112243e-05,0.0745278985,0.00131883212,0.0176958,0.0722798868
6,2+4,0.1,0.1,0.1,0,0,0.1,0.1,0,0,0,0,-8.10112243e-05,0.000615930774,0.000102590826,0.166562,0.000608530071
6,2+4,0.26,0.26,0.26,0,0,0.26,0.26,0,0,0,0,-8.10112243e-05,0.00393076905,0.000251063998,0.0638715,0.00407832613
6,2+4,0.42,0.42,0.42,0,0,0.42,0.42,0,0,0,0,-8.10112243e-05,0.010749471,0.000529627747,0.0492701,0.0106203043
6,2+4,0.58,0.58,0.58,0,0,0.58,0.58,0,0,0,0,-8.10112243e-05,0.0207228266,0.000720216748,0.0347548,0.0202344645
6,2+4,0.74,0.74,0.74,0,0,0.74,0.74,0,0,0,0,-8.10112243e-05,0.0333190769,0.00107812582,0.0323576,0.0329208068
6,2+4,0.9,0.9,0.9,0,0,0.9,0.9,0,0,0,0,-8.10112243e-05,0.04723974,0.0014826235,0.0313851,0.0486793312
7,2+5,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0,0,-8.10112243e-05,3.19746009e-05,5.77372348e-05,1.80572,0.000132430372
7,2+5,0.26,0.26,0.26,0,0,0,0,0.26,0.26,0,0,-8.10112243e-05,0.000747775979,0.000118440651,0.158391,0.00086694878
