trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,std_ratio
0,1,1,1,1,0.012469067,0.000566150148,0.0454044
0,1,1,0.775,0.775,0.00993392628,0.000498063674,0.0501376
0,1,1,0.55,0.55,0.00693931684,0.000358783816,0.051703
0,1,1,0.325,0.325,0.00417000046,0.000276398723,0.0662827
0,1,1,0.25,0.25,0.00328055578,0.000230406409,0.070234
0,1,0.5,0.5,0.25,0.00319392125,0.0002279386,0.0713664
0,1,1,0.1,0.1,0.00155580848,0.000148603832,0.0955155
0,1,1,0,0,0.000260915627,7.14516505e-05,0.27385
0,1,0,1,0,-2.46041394e-05,3.6780102e-05,1.49487
0,1,0.5,0,0,5.16835779e-05,5.17906748e-05,1.00207
0,1,0,0.5,0,-3.67217503e-05,3.74474806e-05,1.01976
0,1,0,0,0,-4.24826523e-05,3.56712932e-05,0.839667
1,1,1,1,1,0.0125477178,0.000597562048,0.0476232
1,1,1,0.775,0.775,0.00978839783,0.000491674837,0.0502304
1,1,1,0.55,0.55,0.0070127424,0.000352427717,0.0502553
1,1,1,0.325,0.325,0.00422990183,0.000284980126,0.0673728
1,1,1,0.25,0.25,0.00329511445,0.000239527963,0.0726918
1,1,0.5,0.5,0.25,0.00312658291,0.00022970253,0.0734676
1,1,1,0.1,0.1,0.00151323286,0.000142572847,0.0942174
1,1,1,0,0,0.000261825991,7.49224285e-05,0.286154
1,1,0,1,0,-2.02977363e-05,3.83474484e-05,1.88925
1,1,0.5,0,0,5.87641223e-05,4.86392527e-05,0.827703
1,1,0,0.5,0,-2.77105804e-05,3.57393992e-05,1.28974
1,1,0,0,0,-3.63933315e-05,3.57488005e-05,0.98229
2,1,1,1,1,0.0124136626,0.000450197508,0.0362663
2,1,1,0.775,0.775,0.00989430063,0.000473512457,0.0478571
2,1,1,0.55,0.55,0.00698590426,0.000338235774,0.0484169
2,1,1,0.325,0.325,0.00422121416,0.000275052467,0.0651596
2,1,1,0.25,0.25,0.00330197893,0.000220376753,0.0667408
2,1,0.5,0.5,0.25,0.00314310931,0.000217969353,0.0693483
2,1,1,0.1,0.1,0.00155188718,0.000162971054,0.105015
2,1,1,0,0,0.000276071289,7.12495379e-05,0.258084
3,1,1,1,1,0.012458157,0.000618971633,0.049684
3,1,1,0.775,0.775,0.00964504923,0.000454289044,0.0471007
3,1,1,0.55,0.55,0.0070227361,0.00035273771,0.050228
3,1,1,0.325,0.325,0.00417616337,0.000278141362,0.0666021
3,1,1,0.1,0.1,0.0015181843,0.00015617391,0.102869
4,1,1,1,1,0.0124273071,0.000541729821,0.0435919
5,1,1,1,1,0.0123839238,0.000553942533,0.0447308
0,2,1,1,1,0.0106791855,0.00048505527,0.0454206
0,2,1,0.775,0.775,0.00845777778,0.000504438181,0.0596419
0,2,1,0.55,0.55,0.00605916169,0.000354869779,0.0585675
0,2,1,0.325,0.325,0.00347492834,0.000247826706,0.0713185
0,2,1,0.25,0.25,0.00265750948,0.000219518261,0.082603
0,2,0.5,0.5,0.25,0.00278271638,0.000214053836,0.0769226
0,2,1,0.1,0.1,0.00111747587,0.000138035511,0.123524
0,2,1,0,0,-2.89510989e-05,3.43785919e-05,1.18747
0,2,0,1,0,-3.17560553e-05,3.99908366e-05,1.25931
0,2,0.5,0,0,-3.87716743e-05,3.82950013e-05,0.987706
0,2,0,0.5,0,-3.51501231e-05,3.83581144e-05,1.09127
0,2,0,0,0,-4.79425093e-05,3.54889367e-05,0.740239
1,2,1,1,1,0.0106592471,0.000553799287,0.0519548
1,2,1,0.775,0.775,0.0084786794,0.000458916519,0.0541259
1,2,1,0.55,0.55,0.00602428165,0.000322688838,0.0535647
1,2,1,0.325,0.325,0.00350855538,0.000252994092,0.0721078
1,2,1,0.25,0.25,0.00275884817,0.000224499942,0.0813745
1,2,0.5,0.5,0.25,0.00280847455,0.000219363032,0.0781075
1,2,1,0.1,0.1,0.00115015265,0.000140518044,0.122173
1,2,1,0,0,-2.20660875e-05,3.91371469e-05,1.77363
1,2,0,1,0,-2.22249873e-05,3.79189679e-05,1.70614
1,2,0.5,0,0,-3.22261267e-05,3.70920745e-05,1.15099
1,2,0,0.5,0,-1.79728517e-05,3.62724596e-05,2.01818
1,2,0,0,0,-4.38054134e-05,3.49629872e-05,0.798143
2,2,1,1,1,0.0105684238,0.000531642209,0.0503048
2,2,1,0.775,0.775,0.00836179434,0.000416622055,0.0498245
2,2,1,0.55,0.55,0.00599637799,0.000360740457,0.0601597
2,2,1,0.325,0.325,0.00348153273,0.000257674474,0.0740118
2,2,1,0.25,0.25,0.00270311391,0.000212726928,0.078697
2,2,0.5,0.5,0.25,0.00278819928,0.00022474896,0.0806072
2,2,1,0.1,0.1,0.00112131927,0.000155849319,0.138987
2,2,1,0,0,-3.46885244e-05,3.6816348e-05,1.06134
3,2,1,1,1,0.0105485745,0.000429924538,0.0407566
3,2,1,0.775,0.775,0.00847021339,0.000463249844,0.0546916
3,2,1,0.55,0.55,0.00604694392,0.00035184755,0.058186
3,2,1,0.325,0.325,0.00347796648,0.000254886789,0.0732862
3,2,1,0.1,0.1,0.00111970586,0.000134266425,0.119912
4,2,1,1,1,0.0107879536,0.000501575864,0.0464941
5,2,1,1,1,0.0105029923,0.000483347975,0.04602
0,3,1,1,1,0.0118655923,0.000527867591,0.0444873
0,3,1,0.775,0.775,0.0091688748,0.000451720987,0.0492668
0,3,1,0.55,0.55,0.00664773927,0.000356873119,0.0536834
0,3,1,0.325,0.325,0.00383809896,0.000265425595,0.0691555
0,3,1,0.25,0.25,0.00295811299,0.000239455068,0.0809486
0,3,0.5,0.5,0.25,0.00298711387,0.000210884073,0.0705979
0,3,1,0.1,0.1,0.00118291599,0.000143719376,0.121496
0,3,1,0,0,-2.91579997e-05,3.53607972e-05,1.21273
0,3,0,1,0,-2.92097683e-05,4.28305994e-05,1.46631
0,3,0.5,0,0,-4.42976329e-05,3.83748612e-05,0.866296
0,3,0,0.5,0,-4.92137987e-05,4.12362769e-05,0.837901
0,3,0,0,0,-4.29770222e-05,3.77991082e-05,0.879519
1,3,1,1,1,0.011845351,0.000480187399,0.040538
1,3,1,0.775,0.775,0.00913309787,0.000482454522,0.0528248
1,3,1,0.55,0.55,0.00655958873,0.000333953636,0.0509108
1,3,1,0.325,0.325,0.00380450008,0.000242766388,0.0638103
1,3,1,0.25,0.25,0.00289947179,0.00021685108,0.0747899
1,3,0.5,0.5,0.25,0.00302419444,0.000210634292,0.0696497
1,3,1,0.1,0.1,0.00115537399,0.000136330412,0.117997
1,3,1,0,0,-1.27050561e-05,3.58323707e-05,2.82032
1,3,0,1,0,-8.98382328e-06,3.64363036e-05,4.05577
1,3,0.5,0,0,-2.2283197e-05,3.50425299e-05,1.5726
1,3,0,0.5,0,-2.20121715e-05,3.71374506e-05,1.68713
1,3,0,0,0,-2.26517337e-05,3.65984588e-05,1.6157
2,3,1,1,1,0.0120344637,0.000579998473,0.0481948
2,3,1,0.775,0.775,0.00938743561,0.000430671079,0.0458774
2,3,1,0.55,0.55,0.00664450681,0.000381223821,0.0573743
2,3,1,0.325,0.325,0.00387526903,0.000291924429,0.0753301
2,3,1,0.25,0.25,0.0029844074,0.000237145454,0.0794615
2,3,0.5,0.5,0.25,0.00305504798,0.000241807607,0.0791502
2,3,1,0.1,0.1,0.00119723264,0.000140719382,0.117537
2,3,1,0,0,-7.29982631e-06,3.70721709e-05,5.0785
3,3,1,1,1,0.0120777438,0.000609100657,0.0504317
3,3,1,0.775,0.775,0.00932786792,0.000487554124,0.0522685
3,3,1,0.55,0.55,0.00661980257,0.000366869786,0.05542
3,3,1,0.325,0.325,0.00378775204,0.000250077665,0.0660227
3,3,1,0.1,0.1,0.00118942012,0.000145314027,0.122172
4,3,1,1,1,0.0117805785,0.000634266932,0.05384
5,3,1,1,1,0.0116759741,0.000501342458,0.042938
0,4,1,1,1,0.0131746863,0.000557847906,0.0423424
0,4,1,0.775,0.775,0.0103348487,0.000473877483,0.0458524
0,4,1,0.55,0.55,0.00742085864,0.000373421931,0.0503206
0,4,1,0.325,0.325,0.00428317545,0.000263531773,0.0615272
0,4,1,0.25,0.25,0.00328994478,0.000238847203,0.0725992
0,4,0.5,0.5,0.25,0.00328838257,0.000229162918,0.0696886
0,4,1,0.1,0.1,0.00135598767,0.000151465655,0.111701
0,4,1,0,0,-2.16173328e-05,3.76581632e-05,1.74204
0,4,0,1,0,-2.22434743e-05,3.88917827e-05,1.74846
0,4,0.5,0,0,-3.07208503e-05,4.01354272e-05,1.30646
0,4,0,0.5,0,-3.63099823e-05,4.10162296e-05,1.12961
0,4,0,0,0,-3.99121236e-05,3.86378945e-05,0.968074
1,4,1,1,1,0.013342762,0.000641697693,0.0480933
1,4,1,0.775,0.775,0.0103639321,0.000475458117,0.0458762
1,4,1,0.55,0.55,0.00743219811,0.000367768247,0.0494831
1,4,1,0.325,0.325,0.00431423155,0.000284775406,0.0660084
1,4,1,0.25,0.25,0.0033070877,0.000227417226,0.0687666
1,4,0.5,0.5,0.25,0.00333869181,0.000243009237,0.0727858
1,4,1,0.1,0.1,0.00134656633,0.000148848895,0.11054
1,4,1,0,0,-2.02284044e-05,3.74824249e-05,1.85296
1,4,0,1,0,-4.2640933e-05,4.14712408e-05,0.972569
1,4,0.5,0,0,-4.13367929e-05,3.62306494e-05,0.876475
1,4,0,0.5,0,-4.00731238e-05,3.67627771e-05,0.917392
1,4,0,0,0,-4.77212946e-05,3.76222604e-05,0.788375
2,4,1,1,1,0.0132421439,0.000676793802,0.0511091
2,4,1,0.775,0.775,0.0104243188,0.000476273104,0.0456887
2,4,1,0.55,0.55,0.00742251592,0.000372222096,0.0501477
2,4,1,0.325,0.325,0.00441506353,0.000283724227,0.0642628
2,4,1,0.25,0.25,0.00332942903,0.000232777318,0.0699151
2,4,0.5,0.5,0.25,0.00331067556,0.000222293181,0.0671444
2,4,1,0.1,0.1,0.00139160215,0.000152912888,0.109883
2,4,1,0,0,-1.01329164e-05,3.69493974e-05,3.64647
3,4,1,1,1,0.0133850254,0.000524018552,0.0391496
3,4,1,0.775,0.775,0.0104569259,0.000462425883,0.044222
3,4,1,0.55,0.55,0.00746123196,0.000399859419,0.0535916
3,4,1,0.325,0.325,0.00435892548,0.000259290064,0.0594849
3,4,1,0.1,0.1,0.00137445006,0.000145798521,0.106078
4,4,1,1,1,0.0133575532,0.000485805403,0.0363693
5,4,1,1,1,0.0133236124,0.000532174217,0.0399422
0,5,1,1,1,0.0145160146,0.000703289848,0.0484492
0,5,1,0.775,0.775,0.0113512022,0.000521390802,0.0459327
0,5,1,0.55,0.55,0.0081340921,0.00040025321,0.0492069
0,5,1,0.325,0.325,0.00465634834,0.000283308959,0.0608436
0,5,1,0.25,0.25,0.00360533889,0.000246936217,0.0684918
0,5,0.5,0.5,0.25,0.00366206195,0.000247139757,0.0674865
0,5,1,0.1,0.1,0.00151711475,0.000171060781,0.112754
0,5,1,0,0,-2.32094407e-05,3.55092864e-05,1.52995
0,5,0,1,0,-1.45537279e-05,3.68436795e-05,2.53156
0,5,0.5,0,0,-3.03495714e-05,3.59108293e-05,1.18324
0,5,0,0.5,0,-2.37298238e-05,3.45115104e-05,1.45435
0,5,0,0,0,-2.7201733e-05,3.77938183e-05,1.38939
1,5,1,1,1,0.0143141134,0.000546608255,0.0381867
1,5,1,0.775,0.775,0.0111957267,0.000562572843,0.0502489
1,5,1,0.55,0.55,0.00811274894,0.000380734671,0.0469304
1,5,1,0.325,0.325,0.00470453666,0.000287885559,0.0611932
1,5,1,0.25,0.25,0.00358331485,0.00026359257,0.0735611
1,5,0.5,0.5,0.25,0.00361075648,0.000235724637,0.065284
1,5,1,0.1,0.1,0.00146254702,0.000151874315,0.103842
1,5,1,0,0,-2.31773088e-05,3.64918881e-05,1.57447
1,5,0,1,0,-1.99616251e-05,3.80064678e-05,1.90398
1,5,0.5,0,0,-3.50181459e-05,3.84834536e-05,1.09896
1,5,0,0.5,0,-2.52273939e-05,3.51496597e-05,1.39331
1,5,0,0,0,-3.8225996e-05,3.46861617e-05,0.907397
2,5,1,1,1,0.0147510301,0.000637175391,0.0431953
2,5,1,0.775,0.775,0.0111128456,0.000479310957,0.0431313
2,5,1,0.55,0.55,0.00804321371,0.000380554113,0.0473137
2,5,1,0.325,0.325,0.00476219706,0.000301506407,0.0633125
2,5,1,0.25,0.25,0.00358341718,0.000242749818,0.0677426
2,5,0.5,0.5,0.25,0.00364827884,0.000260473833,0.0713964
2,5,1,0.1,0.1,0.00150298365,0.000155540736,0.103488
2,5,1,0,0,-2.08600998e-05,4.03920694e-05,1.93633
3,5,1,1,1,0.0143244799,0.000630952528,0.0440472
3,5,1,0.775,0.775,0.0113335644,0.000541741831,0.0477998
3,5,1,0.55,0.55,0.00803556989,0.000371819589,0.0462717
3,5,1,0.325,0.325,0.00467548381,0.000288413977,0.0616864
3,5,1,0.1,0.1,0.00146119491,0.000170771722,0.116871
4,5,1,1,1,0.014557719,0.000675182546,0.0463797
5,5,1,1,1,0.0144748336,0.000518572861,0.0358258
0,6,1,1,1,0.0185939329,0.000777918421,0.0418372
0,6,1,0.775,0.775,0.0142636306,0.000607899431,0.0426188
0,6,1,0.55,0.55,0.0101092848,0.000461270949,0.0456284
0,6,1,0.325,0.325,0.00583148706,0.000371696971,0.0637397
0,6,1,0.25,0.25,0.00446986193,0.000271331115,0.0607023
0,6,0.5,0.5,0.25,0.00471089136,0.000314700408,0.0668027
0,6,1,0.1,0.1,0.0018337297,0.000180141988,0.098238
0,6,1,0,0,-2.53492492e-05,3.89496752e-05,1.53652
0,6,0,1,0,-3.24481366e-05,3.85952901e-05,1.18945
0,6,0.5,0,0,-4.42556852e-05,3.89395669e-05,0.879877
0,6,0,0.5,0,-3.65794501e-05,3.98708392e-05,1.08998
0,6,0,0,0,-4.04478482e-05,3.80159767e-05,0.939876
1,6,1,1,1,0.0185682861,0.000579986339,0.0312353
1,6,1,0.775,0.775,0.0142111574,0.000537397279,0.0378152
1,6,1,0.55,0.55,0.0102128287,0.000505035827,0.0494511
1,6,1,0.325,0.325,0.00580502163,0.000314813145,0.0542312
1,6,1,0.25,0.25,0.00447289248,0.00032451161,0.0725507
1,6,0.5,0.5,0.25,0.00465358394,0.000284565034,0.0611497
1,6,1,0.1,0.1,0.00186613181,0.00016625661,0.0890916
1,6,1,0,0,-3.05768636e-05,3.89116474e-05,1.27258
1,6,0,1,0,-2.56331673e-05,3.97733022e-05,1.55163
1,6,0.5,0,0,-2.50069026e-05,3.98975385e-05,1.59546
1,6,0,0.5,0,-2.00169043e-05,3.75909712e-05,1.87796
1,6,0,0,0,-3.27172222e-05,3.72297903e-05,1.13793
2,6,1,1,1,0.0185741424,0.000652993866,0.0351561
2,6,1,0.775,0.775,0.0142101362,0.000650823156,0.0457999
2,6,1,0.55,0.55,0.0101389864,0.000447433002,0.04413
2,6,1,0.325,0.325,0.0058171288,0.000340705765,0.0585694
2,6,1,0.25,0.25,0.00448062334,0.000290385584,0.0648092
2,6,0.5,0.5,0.25,0.00470218851,0.000298058582,0.0633872
2,6,1,0.1,0.1,0.00185434734,0.000179426099,0.0967597
2,6,1,0,0,-1.51019866e-05,3.67624102e-05,2.43428
3,6,1,1,1,0.0186277853,0.000679899261,0.0364992
3,6,1,0.775,0.775,0.0143662779,0.000553499599,0.0385277
3,6,1,0.55,0.55,0.0102775753,0.000547630457,0.053284
3,6,1,0.325,0.325,0.00581504647,0.000327863979,0.056382
3,6,1,0.1,0.1,0.00185349323,0.000176234982,0.0950826
4,6,1,1,1,0.0185411539,0.000765758903,0.0413005
5,6,1,1,1,0.0185097134,0.000685300437,0.0370238
0,7,1,1,1,0.0314770574,0.00124119031,0.0394316
0,7,1,0.775,0.775,0.02448324,0.000777858322,0.0317711
0,7,1,0.55,0.55,0.0176431508,0.000694705869,0.0393754
0,7,1,0.325,0.325,0.010174718,0.000419741081,0.0412533
0,7,1,0.25,0.25,0.007918293,0.000396296476,0.0500482
0,7,0.5,0.5,0.25,0.00804278363,0.000400440435,0.0497888
0,7,1,0.1,0.1,0.00332402624,0.000257775089,0.0775491
0,7,1,0,0,-1.47004379e-05,3.92262914e-05,2.66838
0,7,0,1,0,2.37794819e-07,4.21137094e-05,177.101
0,7,0.5,0,0,-2.7796598e-05,3.73422278e-05,1.34341
0,7,0,0.5,0,-2.18439023e-05,3.87954077e-05,1.77603
0,7,0,0,0,-5.01354461e-05,3.55279295e-05,0.708639
1,7,1,1,1,0.0314536368,0.000979330395,0.0311357
1,7,1,0.775,0.775,0.0245543141,0.000817899599,0.0333098
1,7,1,0.55,0.55,0.0174290298,0.000668518566,0.0383566
1,7,1,0.325,0.325,0.0102181097,0.000460463316,0.0450635
1,7,1,0.25,0.25,0.00794576355,0.000378301978,0.0476105
1,7,0.5,0.5,0.25,0.00801209957,0.000375714064,0.0468933
1,7,1,0.1,0.1,0.00330062178,0.000234747637,0.0711222
1,7,1,0,0,-2.6536658e-05,4.19540677e-05,1.58099
1,7,0,1,0,-1.48413861e-05,4.02006225e-05,2.70868
1,7,0.5,0,0,-3.12197558e-05,3.73572452e-05,1.19659
1,7,0,0.5,0,-2.80675456e-05,3.85176716e-05,1.37232
