trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v,std_ratio
0,2,1,36.87,36.87,0.1,0.1,0.9,0.9,-1.81027462e-05,0.00993443299,0.00045906887,0.0462099
0,2,1,53.13,53.13,0.2,0.2,0.9,0.9,-1.81027462e-05,0.0106580471,0.000420952205,0.0394962
0,2,1,66.42,66.42,0.3,0.3,0.9,0.9,-1.81027462e-05,0.012676362,0.00046796645,0.0369165
0,2,1,78.46,78.46,0.4,0.4,0.9,0.9,-1.81027462e-05,0.0158334406,0.000544148652,0.0343671
0,2,1,90,90,0.5,0.5,0.9,0.9,-1.81027462e-05,0.0197726863,0.000717671398,0.0362961
0,2,1,101.5,101.5,0.6,0.6,0.9,0.9,-1.81027462e-05,0.0242936295,0.000731238014,0.0301
0,2,1,113.6,113.6,0.7,0.7,0.9,0.9,-1.81027462e-05,0.0293338536,0.000876546017,0.0298817
0,2,1,126.9,126.9,0.8,0.8,0.9,0.9,-1.81027462e-05,0.0351861828,0.000891120169,0.0253259
0,2,1,143.1,143.1,0.9,0.9,0.9,0.9,-1.81027462e-05,0.0402777063,0.00120251688,0.0298556
0,2,1,180,180,1,1,0.9,0.9,-1.81027462e-05,0.0426927377,0.000988482231,0.0231534
0,3,1,36.87,36.87,0.1,0.1,0.9,0.9,-2.84072741e-05,0.00865371243,0.000390570029,0.0451332
0,3,1,53.13,53.13,0.2,0.2,0.9,0.9,-2.84072741e-05,0.00812333475,0.000412222978,0.0507455
0,3,1,66.42,66.42,0.3,0.3,0.9,0.9,-2.84072741e-05,0.00876170397,0.000394162521,0.044987
0,3,1,78.46,78.46,0.4,0.4,0.9,0.9,-2.84072741e-05,0.0105593726,0.000491449232,0.0465415
0,3,1,90,90,0.5,0.5,0.9,0.9,-2.84072741e-05,0.0134406848,0.00055272672,0.0411234
0,3,1,101.5,101.5,0.6,0.6,0.9,0.9,-2.84072741e-05,0.0174467224,0.0006484539,0.0371677
0,3,1,113.6,113.6,0.7,0.7,0.9,0.9,-2.84072741e-05,0.0225566207,0.000785557617,0.034826
0,3,1,126.9,126.9,0.8,0.8,0.9,0.9,-2.84072741e-05,0.0287660133,0.000925917347,0.0321879
0,3,1,143.1,143.1,0.9,0.9,0.9,0.9,-2.84072741e-05,0.0358802547,0.00105940419,0.0295261
0,3,1,180,180,1,1,0.9,0.9,-2.84072741e-05,0.0449014745,0.00146083148,0.0325342
0,4,1,36.87,36.87,0.1,0.1,0.9,0.9,-2.59632143e-05,0.00799178035,0.00039037375,0.0488469
0,4,1,53.13,53.13,0.2,0.2,0.9,0.9,-2.59632143e-05,0.0064308085,0.000336373331,0.0523065
0,4,1,66.42,66.42,0.3,0.3,0.9,0.9,-2.59632143e-05,0.00545643329,0.000317074723,0.0581103
0,4,1,78.46,78.46,0.4,0.4,0.9,0.9,-2.59632143e-05,0.00546038503,0.000330599726,0.0605451
0,4,1,90,90,0.5,0.5,0.9,0.9,-2.59632143e-05,0.00655540918,0.000348818392,0.0532108
0,4,1,101.5,101.5,0.6,0.6,0.9,0.9,-2.59632143e-05,0.00915855504,0.000498713891,0.0544533
0,4,1,113.6,113.6,0.7,0.7,0.9,0.9,-2.59632143e-05,0.012901381,0.000509412076,0.0394851
0,4,1,126.9,126.9,0.8,0.8,0.9,0.9,-2.59632143e-05,0.0185256831,0.000800626496,0.0432171
0,4,1,143.1,143.1,0.9,0.9,0.9,0.9,-2.59632143e-05,0.0265850805,0.000976823586,0.0367433
0,4,1,180,180,1,1,0.9,0.9,-2.59632143e-05,0.041162004,0.00100609926,0.0244424
0,5,1,36.87,36.87,0.1,0.1,0.9,0.9,-4.92122774e-05,0.00869253167,0.000422329527,0.0485853
0,5,1,53.13,53.13,0.2,0.2,0.9,0.9,-4.92122774e-05,0.00682929315,0.000350812274,0.0513688
0,5,1,66.42,66.42,0.3,0.3,0.9,0.9,-4.92122774e-05,0.0047254406,0.000276379046,0.0584875
0,5,1,78.46,78.46,0.4,0.4,0.9,0.9,-4.92122774e-05,0.00296022636,0.000223944037,0.075651
0,5,1,90,90,0.5,0.5,0.9,0.9,-4.92122774e-05,0.00172818713,0.0001712691,0.0991033
0,5,1,101.5,101.5,0.6,0.6,0.9,0.9,-4.92122774e-05,0.00129498799,0.000154035619,0.118948
0,5,1,113.6,113.6,0.7,0.7,0.9,0.9,-4.92122774e-05,0.0018921099,0.000182037347,0.0962087
0,5,1,126.9,126.9,0.8,0.8,0.9,0.9,-4.92122774e-05,0.00414159552,0.000302430744,0.0730228
0,5,1,143.1,143.1,0.9,0.9,0.9,0.9,-4.92122774e-05,0.00881468107,0.000423600679,0.0480563
0,5,1,180,180,1,1,0.9,0.9,-4.92122774e-05,0.0236025468,0.00095220048,0.0403431
0,6,1,36.87,36.87,0.1,0.1,0.9,0.9,-3.52265111e-05,0.0118038862,0.000512245886,0.0433964
0,6,1,53.13,53.13,0.2,0.2,0.9,0.9,-3.52265111e-05,0.0119806502,0.000512083721,0.0427426
0,6,1,66.42,66.42,0.3,0.3,0.9,0.9,-3.52265111e-05,0.0119295735,0.00051299121,0.0430016
0,6,1,78.46,78.46,0.4,0.4,0.9,0.9,-3.52265111e-05,0.0109698051,0.000489168434,0.0445923
0,6,1,90,90,0.5,0.5,0.9,0.9,-3.52265111e-05,0.00940903401,0.000471969788,0.0501613
0,6,1,101.5,101.5,0.6,0.6,0.9,0.9,-3.52265111e-05,0.00753867473,0.000377696778,0.0501012
0,6,1,113.6,113.6,0.7,0.7,0.9,0.9,-3.52265111e-05,0.0055334847,0.000347689305,0.0628337
0,6,1,126.9,126.9,0.8,0.8,0.9,0.9,-3.52265111e-05,0.00338572129,0.00024912224,0.0735803
0,6,1,143.1,143.1,0.9,0.9,0.9,0.9,-3.52265111e-05,0.00166919516,0.000179831666,0.107736
0,6,1,180,180,1,1,0.9,0.9,-3.52265111e-05,0.00350846605,0.000294656576,0.0839844
0,7,1,36.87,36.87,0.1,0.1,0.9,0.9,-3.95841915e-05,0.0143380411,0.000545780534,0.0380652
0,7,1,53.13,53.13,0.2,0.2,0.9,0.9,-3.95841915e-05,0.0184961964,0.000605395446,0.0327308
0,7,1,66.42,66.42,0.3,0.3,0.9,0.9,-3.95841915e-05,0.0232901236,0.000814306776,0.0349636
0,7,1,78.46,78.46,0.4,0.4,0.9,0.9,-3.95841915e-05,0.0282554403,0.000814301764,0.0288193
0,7,1,90,90,0.5,0.5,0.9,0.9,-3.95841915e-05,0.0332012554,0.000901100518,0.0271406
0,7,1,101.5,101.5,0.6,0.6,0.9,0.9,-3.95841915e-05,0.0369336516,0.00145338621,0.0393513
0,7,1,113.6,113.6,0.7,0.7,0.9,0.9,-3.95841915e-05,0.0388318904,0.00114989012,0.029612
0,7,1,126.9,126.9,0.8,0.8,0.9,0.9,-3.95841915e-05,0.039894792,0.00131082775,0.0328571
0,7,1,143.1,143.1,0.9,0.9,0.9,0.9,-3.95841915e-05,0.0371983812,0.00112913862,0.0303545
0,7,1,180,180,1,1,0.9,0.9,-3.95841915e-05,0.0223806336,0.000739744058,0.0330529
0,8,1,36.87,36.87,0.1,0.1,0.9,0.9,-4.38015545e-05,0.00955389418,0.000545281442,0.0570743
0,8,1,53.13,53.13,0.2,0.2,0.9,0.9,-4.38015545e-05,0.0134668385,0.000666991209,0.0495284
0,8,1,66.42,66.42,0.3,0.3,0.9,0.9,-4.38015545e-05,0.0221896059,0.000895529644,0.0403581
0,8,1,78.46,78.46,0.4,0.4,0.9,0.9,-4.38015545e-05,0.0346377645,0.00107749569,0.0311075
0,8,1,90,90,0.5,0.5,0.9,0.9,-4.38015545e-05,0.0515623576,0.00173090751,0.0335692
0,8,1,101.5,101.5,0.6,0.6,0.9,0.9,-4.38015545e-05,0.0718240222,0.00233477914,0.0325069
0,8,1,113.6,113.6,0.7,0.7,0.9,0.9,-4.38015545e-05,0.093088382,0.00222792566,0.0239334
0,8,1,126.9,126.9,0.8,0.8,0.9,0.9,-4.38015545e-05,0.11722867,0.00362279982,0.0309037
0,8,1,143.1,143.1,0.9,0.9,0.9,0.9,-4.38015545e-05,0.141185483,0.00309554049,0.0219253
0,8,1,180,180,1,1,0.9,0.9,-4.38015545e-05,0.156246409,0.00377733207,0.0241755
