block,pairs,x_1,w_1,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
0,1+2+3,0.596594,0.546714,0.286942,0.377168,0.496456,0.679969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0258231612,0.000702127365,0.1,0.0241519929
0,1+2+3,0.840969,0.336174,0.352552,0.264140,0.549508,0.162801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0131834894,0.00045544166,0.1,0.0121982706
0,1+2+3,0.742564,0.343716,0.585258,0.593386,0.250355,0.483152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0225479853,0.000711753394,0.1,0.0197962763
0,1+2+3,0.193534,0.275155,0.445849,0.188180,0.756046,0.773542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.019811895,0.00057306291,0.1,0.0185274495
0,1+2+3,0.889389,0.250903,0.379672,0.597242,0.311285,0.531125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0200725725,0.000630708868,0.1,0.0182501567
0,1+2+3,0.127921,0.227594,0.674471,0.475441,0.250296,0.173130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.00896702312,0.000364968435,0.1,0.00700141013
0,1+2+3,0.183006,0.647767,0.757283,0.915672,0.626331,0.748561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0386680443,0.00105713706,0.1,0.030996092
0,1+2+3,0.756600,0.541987,0.938160,0.623806,0.660624,0.248534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0350980181,0.000949138175,0.1,0.0285235497
1,1+2+4,0.941401,0.173195,0.327915,0.720469,0.000000,0.000000,0.124178,0.136705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.00830208262,0.000400743328,0.1,0.00770031953
1,1+2+4,0.376283,0.329335,0.285382,0.827879,0.000000,0.000000,0.477169,0.694015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0197052513,0.000716563565,0.1,0.0177023441
1,1+2+4,0.901471,0.497000,0.671569,0.170464,0.000000,0.000000,0.597073,0.668969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0226433666,0.000742731558,0.1,0.0207549354
1,1+2+4,0.854785,0.987927,0.710205,0.476906,0.000000,0.000000,0.803433,0.512970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0273502017,0.000768590505,0.1,0.0246226771
1,1+2+4,0.544762,0.407617,0.131055,0.363967,0.000000,0.000000,0.221804,0.990843,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0144191227,0.000538494636,0.1,0.0143973408
1,1+2+4,0.809547,0.260350,0.206460,0.362667,0.000000,0.000000,0.923173,0.220350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0134280954,0.000558187943,0.1,0.0132516944
1,1+2+4,0.570880,0.800443,0.462870,0.229712,0.000000,0.000000,0.757829,0.981998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0390938709,0.00115345024,0.1,0.0380398131
1,1+2+4,0.970751,0.205768,0.527270,0.512459,0.000000,0.000000,0.172770,0.990227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0176690844,0.000647771693,0.1,0.0172008492
