block,pairs,x_1,w_1,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,x_9,w_9,x_10,w_10,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
0,1+2+3+4+5+6+7+8+9+10,0.995086,0.995086,0.994949,0.994949,1.000000,1.000000,1.000000,1.000000,0.018656,0.018656,0.228787,0.228787,0.661271,0.661271,0.988419,0.988419,1.000000,1.000000,0.059289,0.059289,-4.2898066e-05,0.12890911,0.00409234475,0.2,0.128896957
0,1+2+3+4+5+6+7+8+9+10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,-4.2898066e-05,0.042217623,0.00146693007,0.1,0.042269484
0,1+2+3+4+5+6+7+8+9+10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000018,0.000018,0.093962,0.093962,0.388809,0.388809,0.813416,0.813416,1.000000,1.000000,1.000000,1.000000,0.166640,0.166640,-4.2898066e-05,0.112533646,0.00313735772,0.2,0.116123301
0,1+2+3+4+5+6+7+8+9+10,0.941311,0.941311,0.940854,0.940854,0.997614,0.997614,1.000000,1.000000,1.000000,1.000000,0.101477,0.101477,0.489675,0.489675,0.922372,0.922372,0.976902,0.976902,0.005094,0.005094,-4.2898066e-05,0.116952169,0.00543482232,0.2,0.119739929
0,1+2+3+4+5+6+7+8+9+10,0.995086,0.995086,0.994949,0.994949,1.000000,1.000000,1.000000,1.000000,0.018656,0.018656,0.228787,0.228787,0.661271,0.661271,0.988419,0.988419,1.000000,1.000000,0.059289,0.059289,-4.2898066e-05,0.129101223,0.00557642781,0.2,0.128896957
# step7_json,C:\Users\weishan\Desktop\RbONN\src\calib_data\run_0911_10pairs_w15g35\calib_step7_result_0911_2231.json
# n_pairs,10
# patterns,ymax all_on psi+30 psi-30 ymax_again
# patterns_json,C:\Users\weishan\Desktop\RbONN\src\calib_data\run_0911_10pairs_w15g35\calib_fullscale_0912_1834.json
# status,complete
