trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,std_ratio
0,1,1,1,1,0.0039644747,0.000274341879,0.0692001
0,1,1,0.775,0.775,0.00306368876,0.000267938411,0.0874561
0,1,1,0.55,0.55,0.00227161989,0.00021415141,0.0942726
0,1,1,0.325,0.325,0.00132412284,0.00015431358,0.11654
0,1,1,0.25,0.25,0.00102165132,0.000126844253,0.124156
0,1,0.5,0.5,0.25,0.00102965083,0.000123967841,0.120398
0,1,1,0.1,0.1,0.000457746981,9.61678797e-05,0.21009
0,1,1,0,0,8.21543895e-05,5.64950472e-05,0.687669
0,1,0,1,0,3.23337063e-05,4.75387049e-05,1.47025
0,1,0.5,0,0,2.40792042e-05,4.56524539e-05,1.89593
0,1,0,0.5,0,1.26246899e-05,4.39738887e-05,3.48317
0,1,0,0,0,-2.04100855e-06,4.36588905e-05,21.3908
1,1,1,1,1,0.00394895341,0.000260104018,0.0658666
1,1,1,0.775,0.775,0.00305665719,0.00022867399,0.0748118
1,1,1,0.55,0.55,0.00226577829,0.000188468453,0.0831804
1,1,1,0.325,0.325,0.00135861598,0.00015578943,0.114668
1,1,1,0.25,0.25,0.00102728992,0.000124700175,0.121388
1,1,0.5,0.5,0.25,0.00103012887,0.00013134947,0.127508
1,1,1,0.1,0.1,0.000460848178,9.8812015e-05,0.214413
1,1,1,0,0,0.000103525834,5.61385055e-05,0.542266
1,1,0,1,0,3.98494984e-05,4.75141915e-05,1.19234
1,1,0.5,0,0,3.93123456e-05,4.6751412e-05,1.18923
1,1,0,0.5,0,2.3322789e-05,4.58337601e-05,1.96519
1,1,0,0,0,4.99449482e-06,4.09984944e-05,8.20874
2,1,1,1,1,0.00400976064,0.000276095751,0.0688559
2,1,1,0.775,0.775,0.00310233664,0.000221361689,0.0713532
2,1,1,0.55,0.55,0.0022715519,0.000185639376,0.0817236
2,1,1,0.325,0.325,0.00135270113,0.000153623934,0.113568
2,1,1,0.25,0.25,0.00102563488,0.000137223577,0.133794
2,1,0.5,0.5,0.25,0.00104430768,0.000139256687,0.133348
2,1,1,0.1,0.1,0.000467166463,9.47709064e-05,0.202863
2,1,1,0,0,9.06328843e-05,5.67882797e-05,0.626575
3,1,1,1,1,0.00402573609,0.00030599299,0.0760092
3,1,1,0.775,0.775,0.00311474866,0.000241315205,0.077475
3,1,1,0.55,0.55,0.00226818997,0.000188183259,0.0829663
3,1,1,0.325,0.325,0.00134876809,0.000156618653,0.11612
3,1,1,0.1,0.1,0.000459900658,9.34119001e-05,0.203113
4,1,1,1,1,0.0039490055,0.000277010572,0.0701469
5,1,1,1,1,0.00401140963,0.00028063018,0.069958
0,2,1,1,1,0.00359788303,0.000258919556,0.0719644
0,2,1,0.775,0.775,0.0027463177,0.00020562573,0.0748732
0,2,1,0.55,0.55,0.00205825525,0.000201216118,0.0977605
0,2,1,0.325,0.325,0.00121566827,0.000142246741,0.117011
0,2,1,0.25,0.25,0.000874421871,0.000124501132,0.142381
0,2,0.5,0.5,0.25,0.000957366315,0.000134948411,0.140958
0,2,1,0.1,0.1,0.000327851853,7.96422537e-05,0.242921
0,2,1,0,0,3.19277899e-05,5.05514664e-05,1.58331
0,2,0,1,0,3.03208476e-05,4.5057413e-05,1.48602
0,2,0.5,0,0,1.73122697e-05,4.48204434e-05,2.58894
0,2,0,0.5,0,1.47082607e-05,4.96655947e-05,3.37671
0,2,0,0,0,-6.53246508e-06,4.49451756e-05,6.88028
1,2,1,1,1,0.00360182112,0.000235391145,0.0653534
1,2,1,0.775,0.775,0.00283376826,0.000229621571,0.0810305
1,2,1,0.55,0.55,0.00205437829,0.000198798085,0.096768
1,2,1,0.325,0.325,0.00115958889,0.000145350802,0.125347
1,2,1,0.25,0.25,0.000842776708,0.000126264298,0.149819
1,2,0.5,0.5,0.25,0.000928999357,0.000137591717,0.148107
1,2,1,0.1,0.1,0.000318891918,8.37791111e-05,0.262719
1,2,1,0,0,1.59423695e-05,4.57282682e-05,2.86835
1,2,0,1,0,3.11984997e-05,5.14251409e-05,1.64832
1,2,0.5,0,0,2.0337403e-06,4.54759843e-05,22.3608
1,2,0,0.5,0,2.52845567e-06,4.2699868e-05,16.8877
1,2,0,0,0,-1.37250004e-05,4.43831669e-05,3.23375
2,2,1,1,1,0.00352680711,0.000234652155,0.0665339
2,2,1,0.775,0.775,0.00279608466,0.000229592721,0.0821122
2,2,1,0.55,0.55,0.0020519015,0.000201508331,0.0982057
2,2,1,0.325,0.325,0.00115137428,0.000137578195,0.11949
2,2,1,0.25,0.25,0.000868270984,0.000132216439,0.152276
2,2,0.5,0.5,0.25,0.000938959911,0.000129961306,0.13841
2,2,1,0.1,0.1,0.000339187904,8.82749946e-05,0.260254
2,2,1,0,0,3.30868065e-05,5.10373542e-05,1.54253
3,2,1,1,1,0.00358045767,0.00024532518,0.0685178
3,2,1,0.775,0.775,0.00281816587,0.000223949554,0.0794664
3,2,1,0.55,0.55,0.00204391865,0.000201684608,0.0986755
3,2,1,0.325,0.325,0.00117612057,0.000147198885,0.125156
3,2,1,0.1,0.1,0.000329795254,9.05324087e-05,0.274511
4,2,1,1,1,0.00357670584,0.000249389141,0.0697259
5,2,1,1,1,0.00361444352,0.000263439647,0.0728853
0,3,1,1,1,0.00400993213,0.000284177264,0.0708683
0,3,1,0.775,0.775,0.00309447674,0.000228018978,0.0736858
0,3,1,0.55,0.55,0.00217422888,0.000200620795,0.0922722
0,3,1,0.325,0.325,0.0012808635,0.000152794562,0.11929
0,3,1,0.25,0.25,0.000955670914,0.00013470508,0.140953
0,3,0.5,0.5,0.25,0.00106767957,0.000133731708,0.125255
