block,pairs,x_1,w_1,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,x_9,w_9,x_10,w_10,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
0,1+2+3+4+5+6+7+8+9+10,0.553248,0.643193,0.530525,0.325000,0.140584,0.679138,0.453672,0.846234,0.564477,0.385379,0.582064,0.757716,0.895283,0.387774,0.493537,0.326751,0.559738,0.297308,0.165476,0.719231,2.68868576e-06,0.0144048456,0.000572982434,0.1,0.0130210066
0,1+2+3+4+5+6+7+8+9+10,0.134074,0.979850,0.986344,0.892280,0.475746,0.818903,0.153369,0.906234,0.861233,0.126219,0.198825,0.965669,0.762367,0.266301,0.274196,0.889495,0.487403,0.251236,0.528600,0.613679,2.68868576e-06,0.0238714405,0.000985092872,0.1,0.0256914268
0,1+2+3+4+5+6+7+8+9+10,0.347414,0.916148,0.379681,0.406541,0.588266,0.457066,0.955370,0.949009,0.806737,0.428565,0.831675,0.161174,0.416786,0.875108,0.143456,0.825697,0.471087,0.428921,0.422538,0.371875,2.68868576e-06,0.0319746872,0.000989065161,0.1,0.0300204992
0,1+2+3+4+5+6+7+8+9+10,0.414465,0.928282,0.719487,0.152773,0.325458,0.161496,0.688202,0.126898,0.919827,0.586816,0.483815,0.355729,0.364871,0.544781,0.416634,0.651989,0.700310,0.269117,0.892488,0.859567,2.68868576e-06,0.0288349848,0.00132012978,0.1,0.027126034
0,1+2+3+4+5+6+7+8+9+10,0.759933,0.717727,0.909164,0.625799,0.309645,0.151674,0.711244,0.288034,0.381304,0.108712,0.214480,0.608632,0.661305,0.613437,0.417445,0.973160,0.861531,0.976734,0.988321,0.120226,2.68868576e-06,0.072412547,0.00201509468,0.2,0.0753221174
0,1+2+3+4+5+6+7+8+9+10,0.117637,0.948099,0.416318,0.140575,0.563412,0.119383,0.785841,0.249745,0.460619,0.571150,0.664869,0.576957,0.148257,0.312415,0.636963,0.859728,0.922362,0.989122,0.488719,0.370401,2.68868576e-06,0.032104133,0.00111557238,0.1,0.0307987426
0,1+2+3+4+5+6+7+8+9+10,0.335474,0.377495,0.227777,0.196332,0.364711,0.609577,0.841520,0.386921,0.326366,0.301636,0.857440,0.406872,0.797329,0.128635,0.155662,0.788141,0.308188,0.677515,0.906854,0.370208,2.68868576e-06,0.0187695269,0.000728254354,0.1,0.0164217516
0,1+2+3+4+5+6+7+8+9+10,0.248930,0.525380,0.128189,0.364027,0.228805,0.823959,0.963872,0.315850,0.237883,0.923482,0.939852,0.861966,0.950390,0.166961,0.477247,0.319341,0.476841,0.777636,0.433971,0.867978,2.68868576e-06,0.0336880485,0.000995585083,0.1,0.0268329334
# step7_json,C:\Users\weishan\Desktop\RbONN\src\calib_data\run_0911_10pairs_w20g30\calib_step7_result_0911_2037.json
# n_pairs,10
# drive,min=0.1,max=1,patterns=8,seed=46786055
# status,complete
