trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,std_ratio
0,1,1,1,1,0.00372870801,0.000260948498,0.0699836
0,1,1,0.9,0.9,0.00342017072,0.000243226938,0.0711154
0,1,1,0.7,0.7,0.0027092577,0.000224092177,0.0827135
0,1,1,0.45,0.45,0.00172809555,0.00017954832,0.1039
0,1,1,0.25,0.25,0.000949100132,0.000129510861,0.136456
0,1,0.5,0.5,0.25,0.000947870426,0.000137618901,0.145187
0,1,1,0.2,0.2,0.000771034523,0.000114341754,0.148297
0,1,1,0,0,4.95173303e-05,5.11170781e-05,1.03231
0,1,0,1,0,-1.50083715e-05,3.90500423e-05,2.60188
0,1,0.5,0,0,9.48529766e-07,4.1228753e-05,43.466
0,1,0,0.5,0,-2.17655372e-05,3.93781254e-05,1.8092
0,1,0,0,0,-3.49896292e-05,3.74251227e-05,1.06961
1,1,1,1,1,0.00374572781,0.000266907105,0.0712564
1,1,1,0.9,0.9,0.00336997699,0.000241329556,0.0716116
1,1,1,0.7,0.7,0.00266773762,0.000223325362,0.0837134
1,1,1,0.45,0.45,0.0017279467,0.000163736572,0.0947579
1,1,1,0.25,0.25,0.000980746209,0.000124706761,0.127155
1,1,0.5,0.5,0.25,0.000952032159,0.000126336598,0.132702
1,1,1,0.2,0.2,0.000776648146,0.000117626779,0.151454
1,1,1,0,0,5.88918105e-05,5.030403e-05,0.854177
1,1,0,1,0,-2.49085032e-05,3.56018946e-05,1.42931
1,1,0.5,0,0,-1.82007759e-05,4.06676642e-05,2.23439
1,1,0,0.5,0,-3.83345746e-05,3.69974367e-05,0.965119
1,1,0,0,0,-4.2188999e-05,3.8797731e-05,0.919617
2,1,1,0.9,0.9,0.00335239163,0.000243338932,0.0725867
2,1,1,0.7,0.7,0.00264547801,0.000209056382,0.079024
2,1,1,0.45,0.45,0.00171974157,0.000182330842,0.106022
2,1,1,0.25,0.25,0.000945377707,0.000123519316,0.130656
2,1,0.5,0.5,0.25,0.000945251354,0.000129108477,0.136586
2,1,1,0.2,0.2,0.000764479033,0.000124484942,0.162836
2,1,1,0,0,3.74912803e-05,4.70509254e-05,1.25498
3,1,1,0.9,0.9,0.00334288282,0.000235991501,0.0705952
3,1,1,0.7,0.7,0.00265662448,0.000215030391,0.0809412
3,1,1,0.45,0.45,0.00169892324,0.000167875002,0.0988126
3,1,1,0.2,0.2,0.000756678333,0.00011634655,0.15376
4,1,1,0.9,0.9,0.00341820311,0.000278498649,0.0814752
5,1,1,0.9,0.9,0.00334368732,0.000245049747,0.0732873
0,2,1,1,1,0.00336982421,0.000231966662,0.0688364
0,2,1,0.9,0.9,0.00298672996,0.000233641383,0.0782265
0,2,1,0.7,0.7,0.00234355224,0.000195000539,0.0832073
0,2,1,0.45,0.45,0.00149193292,0.00014633393,0.0980835
0,2,1,0.25,0.25,0.000833138594,0.00011032067,0.132416
0,2,0.5,0.5,0.25,0.000855159371,0.000131059148,0.153257
0,2,1,0.2,0.2,0.000617545442,0.000106568146,0.172567
0,2,1,0,0,-2.60047412e-05,3.75321632e-05,1.44328
0,2,0,1,0,-2.80384903e-05,3.78486298e-05,1.34988
0,2,0.5,0,0,-2.00111651e-05,3.4106078e-05,1.70435
0,2,0,0.5,0,-1.96065118e-05,3.93807847e-05,2.00856
0,2,0,0,0,-3.09798532e-05,3.50817075e-05,1.1324
1,2,1,1,1,0.00332636761,0.00022843468,0.0686739
1,2,1,0.9,0.9,0.00298862682,0.000246216146,0.0823844
1,2,1,0.7,0.7,0.00237656362,0.000210069376,0.0883921
1,2,1,0.45,0.45,0.00150729192,0.000172701166,0.114577
1,2,1,0.25,0.25,0.00081445033,0.000110578455,0.135771
1,2,0.5,0.5,0.25,0.000849186902,0.000131160313,0.154454
1,2,1,0.2,0.2,0.000637098709,0.000104566484,0.164129
1,2,1,0,0,-2.47489448e-05,3.59142401e-05,1.45114
1,2,0,1,0,-2.84224852e-05,3.68333066e-05,1.29592
1,2,0.5,0,0,-2.87894337e-05,3.69505675e-05,1.28348
1,2,0,0.5,0,-2.58466448e-05,3.73102863e-05,1.44353
1,2,0,0,0,-2.84793573e-05,3.74038962e-05,1.31337
2,2,1,0.9,0.9,0.00299362761,0.000219424086,0.0732971
2,2,1,0.7,0.7,0.0024040247,0.00021321376,0.0886903
2,2,1,0.45,0.45,0.00154389534,0.000156801787,0.101562
2,2,1,0.25,0.25,0.000832021141,0.000111941428,0.134542
2,2,0.5,0.5,0.25,0.000855314864,0.000118556016,0.138611
2,2,1,0.2,0.2,0.00064004598,0.000103862019,0.162273
2,2,1,0,0,-1.57597217e-05,3.86649279e-05,2.4534
3,2,1,0.9,0.9,0.00303825454,0.000232195855,0.0764241
3,2,1,0.7,0.7,0.00238633621,0.000192110981,0.0805046
3,2,1,0.45,0.45,0.00152510035,0.000154754581,0.101472
3,2,1,0.2,0.2,0.000643672063,0.000100039495,0.15542
4,2,1,0.9,0.9,0.0029982854,0.000234579273,0.0782378
5,2,1,0.9,0.9,0.00303350231,0.000246368834,0.081216
0,3,1,1,1,0.00378241795,0.000282797024,0.0747662
0,3,1,0.9,0.9,0.0033597368,0.00024236203,0.0721372
0,3,1,0.7,0.7,0.00265500525,0.000226177551,0.0851891
0,3,1,0.45,0.45,0.00170140897,0.000171930409,0.101052
0,3,1,0.25,0.25,0.000933702462,0.000143113325,0.153275
0,3,0.5,0.5,0.25,0.000932543997,0.000115098143,0.123424
0,3,1,0.2,0.2,0.000714480128,0.000114567208,0.16035
0,3,1,0,0,-2.28175391e-05,3.46829331e-05,1.52001
0,3,0,1,0,-1.5469613e-05,3.77823178e-05,2.44236
0,3,0.5,0,0,-2.31846034e-05,3.64243485e-05,1.57106
0,3,0,0.5,0,-2.98409868e-05,3.8073038e-05,1.27586
0,3,0,0,0,-2.30048224e-05,3.6496673e-05,1.58648
1,3,1,1,1,0.00378979059,0.000242818348,0.0640717
1,3,1,0.9,0.9,0.00340110407,0.000266475415,0.0783497
1,3,1,0.7,0.7,0.00267075049,0.000217676367,0.0815038
1,3,1,0.45,0.45,0.00167791242,0.00017635639,0.105105
1,3,1,0.25,0.25,0.000900022933,0.00012363713,0.137371
1,3,0.5,0.5,0.25,0.000942830449,0.000135250626,0.143452
1,3,1,0.2,0.2,0.000715470263,0.000116784752,0.163228
1,3,1,0,0,-2.36461196e-05,3.59212844e-05,1.51912
1,3,0,1,0,-2.35128721e-05,3.63701018e-05,1.54682
1,3,0.5,0,0,-3.3559729e-05,3.65058583e-05,1.08779
1,3,0,0.5,0,-3.29286275e-05,3.60767557e-05,1.0956
1,3,0,0,0,-2.74618284e-05,3.33335604e-05,1.21381
2,3,1,0.9,0.9,0.00339264434,0.000249631828,0.0735803
2,3,1,0.7,0.7,0.00267476297,0.000212338544,0.0793859
2,3,1,0.45,0.45,0.00170284617,0.000163545305,0.0960423
2,3,1,0.25,0.25,0.000908646467,0.000133432345,0.146847
2,3,0.5,0.5,0.25,0.000965558996,0.000122503211,0.126873
2,3,1,0.2,0.2,0.000709060384,0.000116478968,0.164272
2,3,1,0,0,-9.97831637e-06,3.75546021e-05,3.76362
3,3,1,0.9,0.9,0.00345604183,0.000248377013,0.0718675
3,3,1,0.7,0.7,0.00266520764,0.000237115676,0.0889671
3,3,1,0.45,0.45,0.00169940633,0.000156932005,0.0923452
3,3,1,0.2,0.2,0.000703617453,0.000118564456,0.168507
4,3,1,0.9,0.9,0.00345468819,0.000247863207,0.0717469
5,3,1,0.9,0.9,0.003394709,0.000250796249,0.0738786
0,4,1,1,1,0.00414971479,0.000279368285,0.0673223
0,4,1,0.9,0.9,0.00376021549,0.000270013725,0.071808
0,4,1,0.7,0.7,0.0029406718,0.000252162075,0.0857498
0,4,1,0.45,0.45,0.00189106529,0.00018439529,0.0975087
0,4,1,0.25,0.25,0.00104828559,0.000119724829,0.11421
0,4,0.5,0.5,0.25,0.00102723653,0.000129471798,0.126039
0,4,1,0.2,0.2,0.00082625688,0.000117246497,0.141901
0,4,1,0,0,-7.09939646e-06,3.68354512e-05,5.18853
0,4,0,1,0,-1.3758379e-05,3.79503374e-05,2.75834
0,4,0.5,0,0,-1.74940245e-05,3.74575644e-05,2.14116
0,4,0,0.5,0,-1.45351335e-05,3.84837202e-05,2.64763
0,4,0,0,0,-2.15685973e-05,3.31039294e-05,1.53482
1,4,1,1,1,0.00416955125,0.000289682981,0.0694758
1,4,1,0.9,0.9,0.00378454665,0.000262806238,0.0694419
1,4,1,0.7,0.7,0.00299832358,0.000219111019,0.0730778
1,4,1,0.45,0.45,0.0018808676,0.000178333359,0.0948144
1,4,1,0.25,0.25,0.00101999709,0.000130466116,0.127908
1,4,0.5,0.5,0.25,0.00105234356,0.000134684722,0.127986
1,4,1,0.2,0.2,0.000798377981,0.000115556197,0.144739
1,4,1,0,0,-1.91588888e-05,3.71224353e-05,1.93761
1,4,0,1,0,-2.16797818e-05,3.85943379e-05,1.7802
1,4,0.5,0,0,-2.85687228e-05,3.69909218e-05,1.2948
1,4,0,0.5,0,-2.08856546e-05,3.73088191e-05,1.78634
1,4,0,0,0,-2.54871426e-05,3.62095925e-05,1.4207
2,4,1,0.9,0.9,0.00371176424,0.000247949837,0.0668011
2,4,1,0.7,0.7,0.00290999868,0.000249439608,0.0857181
2,4,1,0.45,0.45,0.0018752252,0.000187131923,0.0997917
2,4,1,0.25,0.25,0.00101720217,0.000132106883,0.129873
2,4,0.5,0.5,0.25,0.00103863279,0.000128988198,0.12419
2,4,1,0.2,0.2,0.000822091323,0.000125311801,0.152431
2,4,1,0,0,-1.75934127e-05,3.62843085e-05,2.06238
3,4,1,0.9,0.9,0.00383455014,0.000270017879,0.0704171
3,4,1,0.7,0.7,0.00290721065,0.000213160768,0.0733214
3,4,1,0.45,0.45,0.00188345223,0.000180142591,0.0956449
3,4,1,0.2,0.2,0.000810289385,0.000114069929,0.140777
4,4,1,0.9,0.9,0.00375590771,0.000269925506,0.0718669
5,4,1,0.9,0.9,0.00371305641,0.000259807593,0.0699714
0,5,1,1,1,0.00459028901,0.000283116841,0.0616773
0,5,1,0.9,0.9,0.00398794599,0.000255268397,0.06401
0,5,1,0.7,0.7,0.0031775411,0.000232636682,0.0732128
0,5,1,0.45,0.45,0.00203465657,0.000172499952,0.0847809
0,5,1,0.25,0.25,0.00111589871,0.000155007295,0.138908
0,5,0.5,0.5,0.25,0.00111352514,0.00012716429,0.1142
0,5,1,0.2,0.2,0.000861488975,0.000125073715,0.145183
0,5,1,0,0,-3.56973255e-05,3.60025712e-05,1.00855
0,5,0,1,0,-2.15352358e-05,3.73168485e-05,1.73283
0,5,0.5,0,0,-3.26313949e-05,3.72473793e-05,1.14146
0,5,0,0.5,0,-1.65419728e-05,3.82905474e-05,2.31475
0,5,0,0,0,-2.29206848e-05,3.65488092e-05,1.59458
1,5,1,1,1,0.00451924673,0.000308071449,0.0681688
1,5,1,0.9,0.9,0.0040298683,0.000292181058,0.0725039
1,5,1,0.7,0.7,0.00317479591,0.000211675073,0.0666736
1,5,1,0.45,0.45,0.00205200457,0.000186367262,0.0908221
1,5,1,0.25,0.25,0.00112007148,0.00013725416,0.122541
1,5,0.5,0.5,0.25,0.00112044109,0.000136148806,0.121514
1,5,1,0.2,0.2,0.000868585334,0.000127164671,0.146404
1,5,1,0,0,-3.17199512e-05,3.75015254e-05,1.18227
1,5,0,1,0,-2.66791029e-05,3.45569741e-05,1.29528
1,5,0.5,0,0,-4.16827284e-05,3.64677162e-05,0.874888
