trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v,std_ratio
0,3,2,36.87,36.87,0.1,0.1,0.9,0.9,-2.56545576e-05,0.0044170857,0.000317997634,0.0719926
0,3,2,51.52,51.52,0.188889,0.188889,0.9,0.9,-2.56545576e-05,0.0044035135,0.000274931099,0.0624345
0,3,2,63.61,63.61,0.277778,0.277778,0.9,0.9,-2.56545576e-05,0.00480029638,0.000302284467,0.062972
0,3,2,74.53,74.53,0.366667,0.366667,0.9,0.9,-2.56545576e-05,0.00575223085,0.000313126018,0.0544356
0,3,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-2.56545576e-05,0.00716621465,0.000384875407,0.0537069
0,3,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-2.56545576e-05,0.00910148725,0.000443840681,0.0487657
0,3,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-2.56545576e-05,0.0115352175,0.000541249853,0.0469215
0,3,2,116.4,116.4,0.722222,0.722222,0.9,0.9,-2.56545576e-05,0.0141513424,0.000636367015,0.0449687
0,3,2,128.5,128.5,0.811111,0.811111,0.9,0.9,-2.56545576e-05,0.0172136383,0.000720007775,0.0418278
0,3,2,143.1,143.1,0.9,0.9,0.9,0.9,-2.56545576e-05,0.0205826384,0.000923895908,0.0448871
0,4,2,36.87,36.87,0.1,0.1,0.9,0.9,-3.96504667e-05,0.00380388051,0.00026213742,0.0689132
0,4,2,51.52,51.52,0.188889,0.188889,0.9,0.9,-3.96504667e-05,0.00327409851,0.000235556958,0.0719456
0,4,2,63.61,63.61,0.277778,0.277778,0.9,0.9,-3.96504667e-05,0.00292563664,0.000219434051,0.0750039
0,4,2,74.53,74.53,0.366667,0.366667,0.9,0.9,-3.96504667e-05,0.00312510923,0.000244816371,0.0783385
0,4,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-3.96504667e-05,0.00373971037,0.000264875327,0.0708278
0,4,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-3.96504667e-05,0.00503123722,0.000323737522,0.0643455
0,4,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-3.96504667e-05,0.00679585312,0.000361286329,0.0531628
