block,pairs,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
0,2+3+4+5+6+7,0.606189,0.698610,0.520939,0.169314,0.515693,0.407207,0.120853,0.744351,0.978274,0.388603,0.948643,0.162845,0.000000,0.000000,-1.82093899e-05,0.00311765196,0.000220004521,0.1,0.00203545015
0,2+3+4+5+6+7,0.319924,0.315482,0.738079,0.540420,0.320661,0.324998,0.224269,0.673787,0.913688,0.284098,0.428726,0.648241,0.000000,0.000000,-1.82093899e-05,0.0014339906,0.000158374887,0.1,0.000558172979
0,2+3+4+5+6+7,0.687384,0.689656,0.666138,0.317823,0.900129,0.741160,0.560675,0.919893,0.790282,0.799565,0.982873,0.360580,0.000000,0.000000,-1.82093899e-05,0.0104918353,0.000535626635,0.1,0.00717833307
0,2+3+4+5+6+7,0.775495,0.869809,0.192531,0.972956,0.645617,0.201945,0.460663,0.969495,0.767933,0.561074,0.674247,0.199597,0.000000,0.000000,-1.82093899e-05,0.00248596385,0.000205618062,0.1,0.00195886095
0,2+3+4+5+6+7,0.534533,0.160496,0.878990,0.418836,0.522665,0.678623,0.102435,0.107733,0.395849,0.726735,0.340464,0.563099,0.000000,0.000000,-1.82093899e-05,0.00108970717,0.000127578215,0.1,0.00119798749
0,2+3+4+5+6+7,0.331224,0.703524,0.430077,0.283695,0.489737,0.269793,0.832925,0.795622,0.369756,0.728652,0.378031,0.869238,0.000000,0.000000,-1.82093899e-05,0.0043446592,0.000283554597,0.1,0.00349723778
0,2+3+4+5+6+7,0.400710,0.205942,0.780661,0.543203,0.993572,0.513810,0.282165,0.474561,0.516827,0.132338,0.259453,0.665708,0.000000,0.000000,-1.82093899e-05,0.00657175896,0.000367933732,0.1,0.00633303571
0,2+3+4+5+6+7,0.823701,0.245868,0.647765,0.237221,0.283889,0.911531,0.743839,0.784986,0.801537,0.276248,0.872006,0.723601,0.000000,0.000000,-1.82093899e-05,0.0053027553,0.000325581068,0.1,0.00346643638
1,2+3+4+5+6+8,0.144068,0.766013,0.400469,0.617402,0.767902,0.631348,0.671188,0.777001,0.544103,0.666609,0.000000,0.000000,0.699532,0.923348,-1.82093899e-05,0.0298578426,0.00119016078,0.1,0.0250986014
1,2+3+4+5+6+8,0.581641,0.102453,0.903904,0.223332,0.488438,0.361202,0.413881,0.216755,0.414852,0.534555,0.000000,0.000000,0.704987,0.886617,-1.82093899e-05,0.0188420866,0.000797711888,0.1,0.017790536
1,2+3+4+5+6+8,0.402671,0.302771,0.599952,0.810726,0.909891,0.541741,0.855759,0.267361,0.561549,0.250555,0.000000,0.000000,0.978673,0.468236,-1.82093899e-05,0.0404374431,0.00157874087,0.1,0.0366819676
1,2+3+4+5+6+8,0.944078,0.455904,0.500701,0.476635,0.765884,0.268032,0.876726,0.907857,0.765605,0.115589,0.000000,0.000000,0.873941,0.730676,-1.82093899e-05,0.0560785937,0.00214150967,0.1,0.050568367
1,2+3+4+5+6+8,0.442255,0.517471,0.817407,0.958826,0.902103,0.742182,0.224832,0.460444,0.760696,0.369360,0.000000,0.000000,0.975959,0.857204,-1.82093899e-05,0.0579346447,0.00228611418,0.1,0.0561623757
1,2+3+4+5+6+8,0.941680,0.269797,0.135529,0.688435,0.129668,0.701302,0.891730,0.884035,0.505903,0.667770,0.000000,0.000000,0.840647,0.775260,-1.82093899e-05,0.0283749432,0.000964187399,0.1,0.0247735909
1,2+3+4+5+6+8,0.745399,0.102677,0.303126,0.548509,0.644257,0.997601,0.212942,0.476877,0.787379,0.810617,0.000000,0.000000,0.115149,0.946158,-1.82093899e-05,0.0194923446,0.000601608186,0.1,0.0167659434
1,2+3+4+5+6+8,0.847171,0.481269,0.543189,0.252582,0.504564,0.158309,0.198243,0.480164,0.403757,0.834873,0.000000,0.000000,0.703320,0.736125,-1.82093899e-05,0.0186655029,0.000857189568,0.1,0.0171387667
2,2+3+4+5+7+8,0.172032,0.778403,0.869390,0.370089,0.117262,0.858330,0.609901,0.952754,0.000000,0.000000,0.149755,0.183537,0.571483,0.491759,-1.82093899e-05,0.0566583164,0.00208010745,0.1,0.0543360681
2,2+3+4+5+7+8,0.675081,0.947901,0.989561,0.735404,0.386516,0.861013,0.178696,0.606190,0.000000,0.000000,0.942536,0.149278,0.108642,0.710619,-1.82093899e-05,0.0341700201,0.00120554911,0.1,0.0331067148
2,2+3+4+5+7+8,0.323956,0.495547,0.507180,0.192133,0.682136,0.458376,0.771430,0.433038,0.000000,0.000000,0.601308,0.161295,0.323013,0.942328,-1.82093899e-05,0.0314883282,0.00094193806,0.1,0.0297051999
2,2+3+4+5+7+8,0.857777,0.390734,0.810331,0.493039,0.681679,0.397642,0.968422,0.655187,0.000000,0.000000,0.505035,0.716135,0.614638,0.957353,-1.82093899e-05,0.0617113807,0.0014145758,0.1,0.0578957437
2,2+3+4+5+7+8,0.635342,0.421586,0.456902,0.109585,0.756332,0.346647,0.719170,0.975839,0.000000,0.000000,0.281041,0.456858,0.519353,0.313184,-1.82093899e-05,0.0456972319,0.00160110147,0.1,0.0448273839
2,2+3+4+5+7+8,0.216760,0.658697,0.107928,0.436979,0.199489,0.699194,0.368316,0.407096,0.000000,0.000000,0.723489,0.117142,0.202550,0.638679,-1.82093899e-05,0.0136666776,0.000584980763,0.1,0.0134773883
2,2+3+4+5+7+8,0.586588,0.400079,0.908323,0.497926,0.474730,0.764831,0.787271,0.261732,0.000000,0.000000,0.653799,0.507373,0.913028,0.936839,-1.82093899e-05,0.0637143605,0.001916264,0.1,0.0612727388
2,2+3+4+5+7+8,0.770797,0.136067,0.667028,0.976966,0.853739,0.905571,0.344309,0.675865,0.000000,0.000000,0.362064,0.425037,0.891258,0.854925,-1.82093899e-05,0.0977561821,0.00263110306,0.2,0.0930970083
3,2+3+4+6+7+8,0.546462,0.703234,0.664586,0.199919,0.492129,0.883561,0.000000,0.000000,0.839158,0.823325,0.651393,0.800859,0.823907,0.376118,-1.82093899e-05,0.014230752,0.000599048419,0.1,0.0123512822
3,2+3+4+6+7+8,0.720859,0.297385,0.233003,0.424653,0.208311,0.134942,0.000000,0.000000,0.677341,0.413743,0.900859,0.267170,0.114472,0.843502,-1.82093899e-05,0.00269731624,0.000221534983,0.1,0.00299188801
3,2+3+4+6+7+8,0.994755,0.564163,0.809143,0.472869,0.600127,0.492328,0.000000,0.000000,0.955274,0.534923,0.344573,0.732226,0.438698,0.833905,-1.82093899e-05,0.0344458272,0.00115070653,0.1,0.0326636303
3,2+3+4+6+7+8,0.217122,0.124620,0.191402,0.993942,0.559501,0.560489,0.000000,0.000000,0.873198,0.658325,0.824195,0.822826,0.740576,0.622323,-1.82093899e-05,0.00774257244,0.000405487846,0.1,0.00647280881
3,2+3+4+6+7+8,0.415297,0.864415,0.594878,0.291363,0.645340,0.962619,0.000000,0.000000,0.714501,0.648974,0.506200,0.185996,0.688822,0.771691,-1.82093899e-05,0.051012543,0.00188569539,0.1,0.0509588682
3,2+3+4+6+7+8,0.297465,0.570208,0.234451,0.614128,0.253602,0.856101,0.000000,0.000000,0.778028,0.593818,0.667098,0.407332,0.293180,0.652477,-1.82093899e-05,0.00867054388,0.000449020801,0.1,0.0090766974
3,2+3+4+6+7+8,0.929494,0.526326,0.858680,0.558053,0.747703,0.530132,0.000000,0.000000,0.486107,0.476780,0.812344,0.655404,0.533359,0.207386,-1.82093899e-05,0.0160473244,0.000632539245,0.1,0.0155000765
3,2+3+4+6+7+8,0.215451,0.726889,0.271204,0.756243,0.227053,0.598936,0.000000,0.000000,0.134673,0.193815,0.136644,0.127483,0.213089,0.712157,-1.82093899e-05,0.0256283737,0.000830593834,0.1,0.02594811
4,2+3+5+6+7+8,0.285188,0.368230,0.378185,0.551762,0.000000,0.000000,0.969053,0.713136,0.478718,0.160736,0.197356,0.235793,0.925388,0.269388,-1.82093899e-05,0.0293295611,0.00110526561,0.1,0.0286943384
4,2+3+5+6+7+8,0.737975,0.671757,0.323817,0.325859,0.000000,0.000000,0.279850,0.841772,0.580046,0.842216,0.190210,0.135907,0.254627,0.937059,-1.82093899e-05,0.00983546823,0.000451169642,0.1,0.0100490717
4,2+3+5+6+7+8,0.951555,0.542042,0.185348,0.422720,0.000000,0.000000,0.430178,0.287936,0.210812,0.108371,0.908444,0.844333,0.988576,0.109677,-1.82093899e-05,0.0112643787,0.00043558022,0.1,0.00860784501
4,2+3+5+6+7+8,0.538955,0.569115,0.548919,0.111415,0.000000,0.000000,0.460648,0.266236,0.460797,0.717907,0.241011,0.807889,0.441700,0.107477,-1.82093899e-05,0.00156348538,0.000148670798,0.1,0.000191423922
4,2+3+5+6+7+8,0.706734,0.373174,0.619886,0.778678,0.000000,0.000000,0.273362,0.516670,0.256048,0.820062,0.749812,0.676049,0.394077,0.631161,-1.82093899e-05,0.0127727206,0.000540864438,0.1,0.0129987295
4,2+3+5+6+7+8,0.133978,0.425610,0.930517,0.142460,0.000000,0.000000,0.262567,0.239297,0.113787,0.316638,0.805303,0.954328,0.209199,0.894459,-1.82093899e-05,0.00558554292,0.000334633767,0.1,0.00519579078
4,2+3+5+6+7+8,0.802359,0.932248,0.160075,0.579591,0.000000,0.000000,0.740458,0.180309,0.712719,0.906168,0.725681,0.459086,0.360504,0.600594,-1.82093899e-05,0.00504209749,0.000334571656,0.1,0.00550380434
4,2+3+5+6+7+8,0.961885,0.164288,0.685632,0.840882,0.000000,0.000000,0.640538,0.217785,0.513155,0.725958,0.954103,0.673099,0.551464,0.291002,-1.82093899e-05,0.0024654188,0.000198980985,0.1,0.00224448107
5,2+4+5+6+7+8,0.931279,0.331552,0.000000,0.000000,0.362369,0.939718,0.645012,0.662377,0.891911,0.629817,0.563215,0.889961,0.537359,0.998999,-1.82093899e-05,0.00993950046,0.000477586458,0.1,0.01034253
5,2+4+5+6+7+8,0.696593,0.820247,0.000000,0.000000,0.253748,0.813536,0.769934,0.302701,0.397407,0.951048,0.414871,0.631492,0.945474,0.770014,-1.82093899e-05,0.0349744749,0.00111385169,0.1,0.0331450813
5,2+4+5+6+7+8,0.667745,0.119718,0.000000,0.000000,0.698384,0.360490,0.432495,0.850393,0.529566,0.331336,0.525339,0.999566,0.548515,0.929577,-1.82093899e-05,0.00802258994,0.000357814774,0.1,0.00702136818
5,2+4+5+6+7+8,0.416141,0.328119,0.000000,0.000000,0.650743,0.215011,0.304227,0.587791,0.203214,0.727904,0.481460,0.126414,0.565146,0.443015,-1.82093899e-05,0.0100402912,0.000502132328,0.1,0.00941294694
5,2+4+5+6+7+8,0.500234,0.811518,0.000000,0.000000,0.826388,0.792275,0.183292,0.973235,0.478247,0.615473,0.675977,0.947099,0.409301,0.128915,-2.45725041e-05,0.00109541057,0.000137031078,0.1,0.000349342909
5,2+4+5+6+7+8,0.955387,0.635328,0.000000,0.000000,0.521749,0.840639,0.671540,0.384392,0.186717,0.760827,0.789286,0.824391,0.422952,0.571439,-2.45725041e-05,0.00695798905,0.000348513648,0.1,0.00728348369
5,2+4+5+6+7+8,0.431830,0.535791,0.000000,0.000000,0.854781,0.331394,0.998117,0.365982,0.544550,0.226255,0.242700,0.639464,0.590519,0.405256,-2.45725041e-05,0.0218614855,0.000704803187,0.1,0.0211311455
5,2+4+5+6+7+8,0.683434,0.714590,0.000000,0.000000,0.356044,0.254490,0.844576,0.495255,0.187079,0.748089,0.908601,0.482976,0.164105,0.413852,-2.45725041e-05,0.000758304716,0.000109991048,0.1,0.000296816946
6,3+4+5+6+7+8,0.000000,0.000000,0.329592,0.939346,0.810273,0.604511,0.474797,0.560900,0.739891,0.303804,0.596349,0.676577,0.441298,0.328892,-2.45725041e-05,0.00602529902,0.000348538571,0.1,0.00561168991
6,3+4+5+6+7+8,0.000000,0.000000,0.109088,0.411763,0.204545,0.110277,0.780342,0.271132,0.549450,0.588717,0.189654,0.455558,0.897412,0.830718,-2.45725041e-05,0.0203158201,0.000811713151,0.1,0.0205912129
6,3+4+5+6+7+8,0.000000,0.000000,0.483587,0.726465,0.752825,0.903630,0.791573,0.468477,0.153920,0.763751,0.978150,0.909344,0.399847,0.873002,-2.45725041e-05,0.00460869287,0.000337059334,0.1,0.00440145051
6,3+4+5+6+7+8,0.000000,0.000000,0.897195,0.593010,0.855418,0.857735,0.772227,0.837328,0.402595,0.749487,0.458549,0.135320,0.860831,0.242394,-2.45725041e-05,0.0401861141,0.00128809848,0.1,0.0385630422
6,3+4+5+6+7+8,0.000000,0.000000,0.665009,0.434599,0.997297,0.123016,0.475425,0.196643,0.511752,0.815927,0.711626,0.130505,0.684686,0.259986,-2.45725041e-05,0.00613979753,0.000377313454,0.1,0.00608003163
6,3+4+5+6+7+8,0.000000,0.000000,0.544575,0.311853,0.954468,0.563973,0.832016,0.392987,0.892631,0.437601,0.352341,0.845448,0.361828,0.390890,-2.45725041e-05,0.00913713339,0.000461735049,0.1,0.00814007918
6,3+4+5+6+7+8,0.000000,0.000000,0.322127,0.220014,0.679900,0.164401,0.980901,0.833972,0.723174,0.623035,0.873711,0.759816,0.793531,0.513260,-2.45725041e-05,0.00231599313,0.000250231346,0.1,0.00163641563
6,3+4+5+6+7+8,0.000000,0.000000,0.649112,0.601294,0.741005,0.543349,0.473561,0.556937,0.998735,0.247563,0.267181,0.435672,0.606548,0.605033,-2.45725041e-05,0.0260492834,0.00105764924,0.1,0.0235971807
# step7_json,C:\Users\weishan\Desktop\RbONN\src\calib_data\run_0911_w25g20\calib_step7_result_0911_0351.json
# n_pairs,6
# drive,min=0.1,max=1,patterns=8,seed=2724274390
# status,complete
