trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v,std_ratio
0,2,1,36.87,36.87,0.1,0.1,1,1,-0.000109268832,0.0228791629,6.77502574e-05,0.00296122
0,2,1,53.13,53.13,0.2,0.2,1,1,-0.000109268832,0.021374847,6.57930839e-05,0.00307806
0,2,1,66.42,66.42,0.3,0.3,1,1,-0.000109268832,0.0221806192,6.69479688e-05,0.00301831
0,2,1,78.46,78.46,0.4,0.4,1,1,-0.000109268832,0.0253486631,7.14498773e-05,0.00281868
0,2,1,90,90,0.5,0.5,1,1,-0.000109268832,0.031225349,7.99365474e-05,0.00255999
0,2,1,101.5,101.5,0.6,0.6,1,1,-0.000109268832,0.0392486058,9.31156047e-05,0.00237246
0,2,1,113.6,113.6,0.7,0.7,1,1,-0.000109268832,0.049765716,0.000111490114,0.0022403
0,2,1,126.9,126.9,0.8,0.8,1,1,-0.000109268832,0.062841269,0.000135322467,0.0021534
0,2,1,143.1,143.1,0.9,0.9,1,1,-0.000109268832,0.078810004,0.000164789864,0.00209098
0,2,1,180,180,1,1,1,1,-0.000109268832,0.0974315976,0.000201195117,0.00206499
0,3,1,36.87,36.87,0.1,0.1,1,1,-3.06690326e-05,0.0225598335,6.74828572e-05,0.00299128
0,3,1,53.13,53.13,0.2,0.2,1,1,-3.06690326e-05,0.0209060736,6.50413845e-05,0.00311112
0,3,1,66.42,66.42,0.3,0.3,1,1,-3.06690326e-05,0.0212670938,6.55662779e-05,0.00308299
0,3,1,78.46,78.46,0.4,0.4,1,1,-3.06690326e-05,0.0240363973,6.92589784e-05,0.00288142
0,3,1,90,90,0.5,0.5,1,1,-3.06690326e-05,0.0291351521,7.67761376e-05,0.00263517
0,3,1,101.5,101.5,0.6,0.6,1,1,-3.06690326e-05,0.0368639131,8.89481502e-05,0.00241288
0,3,1,113.6,113.6,0.7,0.7,1,1,-3.06690326e-05,0.0470392665,0.00010647025,0.00226343
0,3,1,126.9,126.9,0.8,0.8,1,1,-3.06690326e-05,0.059990586,0.000129835659,0.00216427
0,3,1,143.1,143.1,0.9,0.9,1,1,-3.06690326e-05,0.0757529285,0.000159589305,0.00210671
0,3,1,180,180,1,1,1,1,-3.06690326e-05,0.0963698585,0.000199689393,0.00207211
0,4,1,36.87,36.87,0.1,0.1,1,1,1.64427678e-05,0.0217896102,6.64954383e-05,0.0030517
0,4,1,53.13,53.13,0.2,0.2,1,1,1.64427678e-05,0.0193005488,6.31853346e-05,0.00327376
0,4,1,66.42,66.42,0.3,0.3,1,1,1.64427678e-05,0.0191525608,6.30020421e-05,0.00328948
0,4,1,78.46,78.46,0.4,0.4,1,1,1.64427678e-05,0.021571109,6.61299561e-05,0.00306567
0,4,1,90,90,0.5,0.5,1,1,1.64427678e-05,0.0269298142,7.34245804e-05,0.00272652
0,4,1,101.5,101.5,0.6,0.6,1,1,1.64427678e-05,0.0350333086,8.61055544e-05,0.00245782
0,4,1,113.6,113.6,0.7,0.7,1,1,1.64427678e-05,0.0462778871,0.000105278713,0.00227492
0,4,1,126.9,126.9,0.8,0.8,1,1,1.64427678e-05,0.0610539159,0.00013182136,0.0021591
0,4,1,143.1,143.1,0.9,0.9,1,1,1.64427678e-05,0.0795314386,0.000166888072,0.00209839
0,4,1,180,180,1,1,1,1,1.64427678e-05,0.10705891,0.000219285078,0.00204827
0,5,1,36.87,36.87,0.1,0.1,1,1,-1.7427229e-05,0.0222545416,6.69829764e-05,0.00300986
0,5,1,53.13,53.13,0.2,0.2,1,1,-1.7427229e-05,0.0191891785,6.3180822e-05,0.00329252
0,5,1,66.42,66.42,0.3,0.3,1,1,-1.7427229e-05,0.0181059141,6.18306956e-05,0.00341494
0,5,1,78.46,78.46,0.4,0.4,1,1,-1.7427229e-05,0.0192221805,6.29877805e-05,0.00327683
0,5,1,90,90,0.5,0.5,1,1,-1.7427229e-05,0.02241404,6.71577709e-05,0.00299624
0,5,1,101.5,101.5,0.6,0.6,1,1,-1.7427229e-05,0.0281692379,7.53580372e-05,0.00267519
0,5,1,113.6,113.6,0.7,0.7,1,1,-1.7427229e-05,0.0368819423,8.88712928e-05,0.00240962
0,5,1,126.9,126.9,0.8,0.8,1,1,-1.7427229e-05,0.0483089321,0.000109037336,0.00225708
0,5,1,143.1,143.1,0.9,0.9,1,1,-1.7427229e-05,0.0640599209,0.000137680947,0.00214925
0,5,1,180,180,1,1,1,1,-1.7427229e-05,0.0901381021,0.000187252113,0.00207739
